Type,Class_Multimodal,CPE,Rp,Impedance,Class_Binary,rsol
control,Normal,7.99E-06,1.25E+06,1834.69011,Benign,44.27
control,Normal,7.96E-06,1.10E+06,1834.69011,Benign,47.92
CA19-9-5pg,Normal,7.71E-06,1.29E+06,1897.52,Benign,49.17
CA19-9-5pg,Normal,7.93E-06,1.26E+06,1897.52,Benign,43.11
CA19-9-50pg,Normal,7.72E-06,1.32E+06,1947.78,Benign,40.16
CA19-9-50pg,Normal,7.68E-06,1.43E+06,1972.92,Benign,40.16
CA19-9-5ng,Low Risk,7.60E-06,1.23E+06,1922.65,Benign,41.45
CA19-9-5ng,Low Risk,7.70E-06,1.23E+06,1947.78,Benign,41.45
CA19-9-20ng,Low Risk,7.68E-06,1.33E+06,1972.2,Benign,42.05
CA19-9-20ng,Low Risk,7.68E-06,1.33E+06,2048.31,Benign,40.37
CA19-9-50ng,High Risk,7.35E-06,1.55E+06,1972.92,Malignant,38.85
CA19-9-500ng,High Risk,7.39E-06,2.20E+06,2035.75,Malignant,43.23
CA19-9-5000ng,High Risk,7.26E-06,1.58E+06,2023.18,Malignant,42.37
CA19-9-5000ng,High Risk,7.30E-06,1.33E+06,2035.75,Malignant,36.18
control,Normal,7.99E-06,1.25E+06,1834.69011,Benign,44.27
control,Normal,7.96E-06,1.10E+06,1834.69011,Benign,47.92
CA19-9-5pg,Normal,7.71E-06,1.29E+06,1897.52,Benign,49.17
CA19-9-5pg,Normal,7.93E-06,1.26E+06,1897.52,Benign,43.11
CA19-9-50pg,Normal,7.72E-06,1.32E+06,1947.78,Benign,40.16
CA19-9-50pg,Normal,7.68E-06,1.43E+06,1972.92,Benign,40.16
CA19-9-5ng,Low Risk,7.60E-06,1.23E+06,1922.65,Benign,41.45
CA19-9-5ng,Low Risk,7.70E-06,1.23E+06,1947.78,Benign,41.45
CA19-9-20ng,Low Risk,7.68E-06,1.33E+06,1972.2,Benign,42.05
CA19-9-20ng,Low Risk,7.68E-06,1.33E+06,2048.31,Benign,40.37
CA19-9-50ng,High Risk,7.35E-06,1.55E+06,1972.92,Malignant,38.85
CA19-9-500ng,High Risk,7.39E-06,2.20E+06,2035.75,Malignant,43.23
CA19-9-5000ng,High Risk,7.26E-06,1.58E+06,2023.18,Malignant,42.37
CA19-9-5000ng,High Risk,7.30E-06,1.33E+06,2035.75,Malignant,36.18
control,Normal,7.99E-06,1.25E+06,1834.69011,Benign,44.27
control,Normal,7.96E-06,1.10E+06,1834.69011,Benign,47.92
CA19-9-5pg,Normal,7.71E-06,1.29E+06,1897.52,Benign,49.17
CA19-9-5pg,Normal,7.93E-06,1.26E+06,1897.52,Benign,43.11
CA19-9-50pg,Normal,7.72E-06,1.32E+06,1947.78,Benign,40.16
CA19-9-50pg,Normal,7.68E-06,1.43E+06,1972.92,Benign,40.16
CA19-9-5ng,Low Risk,7.60E-06,1.23E+06,1922.65,Benign,41.45
CA19-9-5ng,Low Risk,7.70E-06,1.23E+06,1947.78,Benign,41.45
CA19-9-20ng,Low Risk,7.68E-06,1.33E+06,1972.2,Benign,42.05
CA19-9-20ng,Low Risk,7.68E-06,1.33E+06,2048.31,Benign,40.37
CA19-9-50ng,High Risk,7.35E-06,1.55E+06,1972.92,Malignant,38.85
CA19-9-500ng,High Risk,7.39E-06,2.20E+06,2035.75,Malignant,43.23
CA19-9-5000ng,High Risk,7.26E-06,1.58E+06,2023.18,Malignant,42.37
CA19-9-5000ng,High Risk,7.30E-06,1.33E+06,2035.75,Malignant,36.18
control,Normal,7.99E-06,1.25E+06,1834.69011,Benign,44.27
control,Normal,7.96E-06,1.10E+06,1834.69011,Benign,47.92
CA19-9-5pg,Normal,7.71E-06,1.29E+06,1897.52,Benign,49.17
CA19-9-5pg,Normal,7.93E-06,1.26E+06,1897.52,Benign,43.11
CA19-9-50pg,Normal,7.72E-06,1.32E+06,1947.78,Benign,40.16
CA19-9-50pg,Normal,7.68E-06,1.43E+06,1972.92,Benign,40.16
CA19-9-5ng,Low Risk,7.60E-06,1.23E+06,1922.65,Benign,41.45
CA19-9-5ng,Low Risk,7.70E-06,1.23E+06,1947.78,Benign,41.45
CA19-9-20ng,Low Risk,7.68E-06,1.33E+06,1972.2,Benign,42.05
CA19-9-20ng,Low Risk,7.68E-06,1.33E+06,2048.31,Benign,40.37
CA19-9-50ng,High Risk,7.35E-06,1.55E+06,1972.92,Malignant,38.85
CA19-9-500ng,High Risk,7.39E-06,2.20E+06,2035.75,Malignant,43.23
CA19-9-5000ng,High Risk,7.26E-06,1.58E+06,2023.18,Malignant,42.37
CA19-9-5000ng,High Risk,7.30E-06,1.33E+06,2035.75,Malignant,36.18
control,Normal,7.99E-06,1.25E+06,1834.69011,Benign,44.27
control,Normal,7.96E-06,1.10E+06,1834.69011,Benign,47.92
CA19-9-5pg,Normal,7.71E-06,1.29E+06,1897.52,Benign,49.17
CA19-9-5pg,Normal,7.93E-06,1.26E+06,1897.52,Benign,43.11
CA19-9-50pg,Normal,7.72E-06,1.32E+06,1947.78,Benign,40.16
CA19-9-50pg,Normal,7.68E-06,1.43E+06,1972.92,Benign,40.16
CA19-9-5ng,Low Risk,7.60E-06,1.23E+06,1922.65,Benign,41.45
CA19-9-5ng,Low Risk,7.70E-06,1.23E+06,1947.78,Benign,41.45
CA19-9-20ng,Low Risk,7.68E-06,1.33E+06,1972.2,Benign,42.05
CA19-9-20ng,Low Risk,7.68E-06,1.33E+06,2048.31,Benign,40.37
CA19-9-50ng,High Risk,7.35E-06,1.55E+06,1972.92,Malignant,38.85
CA19-9-500ng,High Risk,7.39E-06,2.20E+06,2035.75,Malignant,43.23
CA19-9-5000ng,High Risk,7.26E-06,1.58E+06,2023.18,Malignant,42.37
CA19-9-5000ng,High Risk,7.30E-06,1.33E+06,2035.75,Malignant,36.18
