Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal
54.3,2000000.0,7.41e-06,241.2,574.91,10 ng/mL,High Risk
54.3,2000000.0,7.41e-06,241.2,574.91,10 ng/mL,High Risk
63.7,1010000.0,7.81e-06,346.4,202.95,10 ng/mL,High Risk
37.17,2780000.0,8.8e-06,239.9,746.0,5 ng/mL,High Risk
42.31,2630000.0,8.05e-06,473.6,1019.93,5 ng/mL,High Risk
33.45,1450000.0,8.26e-06,377.0,835.0,5 ng/mL,High Risk
94.51,1620000.0,8.42e-06,274.4,767.0,3 ng/mL,Low Risk
38.48,568000.0,8.54e-06,181.2,857.82,3 ng/mL,Low Risk
32.36,893000.0,7.82e-06,246.9,915.63,3 ng/mL,Low Risk
43.75,107000000000.0,8.67e-06,201.4,918.14,1 ng/mL,Low Risk
47.07,7830000.0,8.34e-06,278.9,884.21,1 ng/mL,Low Risk
44.63,94300.0,9.27e-06,472.4,385.33,1 ng/mL,Low Risk
192.8,1950000.0,8.25e-06,231.2,878.0,0.1 ng/mL,Normal
72.58,327000.0,8.18e-06,371.8,872.9,0.1 ng/mL,Normal
31.06,611000000000.0,8.64e-06,335.0,897.0,0.1 ng/mL,Normal
37.94,8350000.0,9.1e-06,407.4,694.0,0.5 ng/mL,Normal
46.22,2430000.0,8.53e-06,347.5,844.0,0.5 ng/mL,Normal
33.63,1790000.0,8.24e-06,492.2,913.11,0.5 ng/mL,Normal
45.22,32766697291.0,9.27e-06,280.3,725.02,5 ng/mL,Normal
31.06,45855739579.0,9.27e-06,181.2,938.22,10 ng/mL,Normal
95.25,94300.0,7.41e-06,238.6,993.88,10 ng/mL,Normal
79.28,130627711862.0,7.41e-06,470.2,925.62,0.1 ng/mL,Normal
35.75,94300.0,7.41e-06,465.8,991.55,3 ng/mL,Normal
31.06,34461484405.0,7.41e-06,299.6,778.77,0.5 ng/mL,Normal
62.7,32829859846.0,7.41e-06,492.2,569.27,0.5 ng/mL,Normal
31.06,23161970528.0,7.41e-06,457.3,742.05,0.5 ng/mL,Normal
31.06,131331363148.0,9.27e-06,181.2,693.13,5 ng/mL,Normal
38.2,101496364101.0,9.27e-06,386.1,712.13,10 ng/mL,Normal
75.96,5368496947.0,9.27e-06,243.7,657.09,0.5 ng/mL,Normal
64.36,86908219244.0,9.27e-06,181.2,812.9,0.1 ng/mL,Normal
31.06,8889805642.0,7.41e-06,181.2,846.96,3 ng/mL,Low Risk
31.06,41625315904.0,7.41e-06,181.2,981.47,5 ng/mL,Low Risk
53.19,94300.0,7.41e-06,333.4,1019.93,5 ng/mL,Low Risk
64.79,9432729235.0,9.27e-06,347.9,1019.93,1 ng/mL,Low Risk
38.08,37339809696.0,9.27e-06,223.9,261.6,1 ng/mL,Low Risk
31.06,94300.0,7.41e-06,181.2,853.85,0.1 ng/mL,Low Risk
33.52,94300.0,7.41e-06,181.2,1019.93,1 ng/mL,Low Risk
54.26,118443586398.0,7.41e-06,474.7,847.4,1 ng/mL,Low Risk
57.37,94300.0,7.41e-06,181.2,1019.93,3 ng/mL,Low Risk
71.05,69098948847.0,7.41e-06,473.1,872.44,1 ng/mL,Low Risk
35.23,48496449373.0,7.41e-06,181.2,833.91,3 ng/mL,Low Risk
31.06,43462785862.0,7.41e-06,388.3,658.98,1 ng/mL,Low Risk
54.71,125991654870.0,7.41e-06,227.5,930.03,0.1 ng/mL,High Risk
51.66,94300.0,9.27e-06,352.3,492.87,5 ng/mL,High Risk
46.96,14771587026.0,7.41e-06,313.2,705.76,5 ng/mL,High Risk
31.06,94300.0,7.41e-06,181.2,930.96,3 ng/mL,High Risk
66.82,66886558780.0,9.27e-06,336.8,781.99,10 ng/mL,High Risk
31.06,47183871624.0,7.41e-06,181.2,810.59,10 ng/mL,High Risk
50.04,83881277817.0,9.27e-06,267.6,881.48,1 ng/mL,High Risk
31.06,2879009875.0,9.27e-06,181.2,662.11,0.5 ng/mL,High Risk
70.56,94300.0,9.27e-06,364.1,1019.93,5 ng/mL,High Risk
34.34,94300.0,7.41e-06,438.2,575.68,10 ng/mL,High Risk
41.97,99054899839.0,9.27e-06,181.2,817.3,3 ng/mL,High Risk
39.63,31689476790.0,9.27e-06,308.3,202.95,5 ng/mL,High Risk
