Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal
54.3,2000000.0,7.41e-06,241.2,574.91,10 ng/mL,High Risk
54.3,2000000.0,7.41e-06,241.2,574.91,10 ng/mL,High Risk
63.7,1010000.0,7.81e-06,346.4,202.95,10 ng/mL,High Risk
37.17,2780000.0,8.8e-06,239.9,746.0,5 ng/mL,High Risk
42.31,2630000.0,8.05e-06,473.6,1019.93,5 ng/mL,High Risk
33.45,1450000.0,8.26e-06,377.0,835.0,5 ng/mL,High Risk
94.51,1620000.0,8.42e-06,274.4,767.0,3 ng/mL,Low Risk
38.48,568000.0,8.54e-06,181.2,857.82,3 ng/mL,Low Risk
32.36,893000.0,7.82e-06,246.9,915.63,3 ng/mL,Low Risk
43.75,107000000000.0,8.67e-06,201.4,918.14,1 ng/mL,Low Risk
47.07,7830000.0,8.34e-06,278.9,884.21,1 ng/mL,Low Risk
44.63,94300.0,9.27e-06,472.4,385.33,1 ng/mL,Low Risk
192.8,1950000.0,8.25e-06,231.2,878.0,0.1 ng/mL,Normal
72.58,327000.0,8.18e-06,371.8,872.9,0.1 ng/mL,Normal
31.06,611000000000.0,8.64e-06,335.0,897.0,0.1 ng/mL,Normal
37.94,8350000.0,9.1e-06,407.4,694.0,0.5 ng/mL,Normal
46.22,2430000.0,8.53e-06,347.5,844.0,0.5 ng/mL,Normal
33.63,1790000.0,8.24e-06,492.2,913.11,0.5 ng/mL,Normal
61.95,1848843.0,8.13e-06,293.9,31.75450564,10 ng/mL,Normal
72.81,1718821.0,6.9e-06,189.9,8.79645943,10 ng/mL,Normal
60.6,1914091.0,6.9e-06,247.8,8.79645943,10 ng/mL,Normal
57.86,1517653.0,6.9e-06,189.9,8.79645943,5 ng/mL,Normal
67.35,1628772.0,8.13e-06,239.7,8.79645943,10 ng/mL,Normal
72.81,1249097.0,8.13e-06,283.4,97.43819919,5 ng/mL,Normal
71.16,1476786.0,6.9e-06,189.9,8.79645943,10 ng/mL,Low Risk
51.69,1175090.0,6.9e-06,539.9,335.5220954,15 ng/mL,Low Risk
53.86,1308878.0,6.9e-06,363.0,130.68737175,30 ng/mL,Low Risk
49.17,1230409.0,8.13e-06,371.0,173.30970064,40 ng/mL,Low Risk
61.89,1469413.0,6.9e-06,397.7,243.0008613,5 ng/mL,Low Risk
60.38,1636995.0,6.9e-06,458.4,318.12408229,15 ng/mL,Low Risk
43.64,1203595.0,8.13e-06,510.1,120.97108195,40 ng/mL,High Risk
53.19,1053130.0,8.13e-06,413.1,298.3513474,15 ng/mL,High Risk
64.84,1350277.0,8.13e-06,498.2,224.83106204,40 ng/mL,High Risk
43.64,1691337.0,6.9e-06,417.3,36.29620669,30 ng/mL,High Risk
52.7,1062015.0,8.13e-06,446.2,60.5635122,40 ng/mL,High Risk
44.8,1259420.0,6.9e-06,509.6,109.88952585,60 ng/mL,High Risk
