Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal
76.35,165000.0,9.24e-06,1824.0,188.9144382,20 ng/ml,High Risk
80.13,43800.0,1.08e-05,2439.0,907.7108374,20 ng/ml,High Risk
64.97,1030000.0,7.14e-06,372.5,164.200576,20 ng/ml,High Risk
49.69,940000.0,7.57e-06,415.0,10.89085453,15 ng/ml,High Risk
45.2,1140000.0,7.51e-06,592.4,62.41297405,15 ng/ml,High Risk
60.44,26100000000.0,8.21e-06,384.6,95.08553765,15 ng/ml,High Risk
52.34,1130000.0,7.7e-06,591.0,58.64306287,10 ng/ml,Low Risk
47.95,1080000.0,7.11e-06,643.0,322.5368458,10 ng/ml,Low Risk
50.3,1160000.0,7.75e-06,390.8,4.607669225,10 ng/ml,Low Risk
58.93,1490000.0,7.37e-06,391.0,161.6873019,5 ng/ml,Low Risk
42.3,880000.0,6.89e-06,392.3,199.3864137,5 ng/ml,Low Risk
41.66,1060000.0,7.09e-06,336.3,188.0766802,5 ng/ml,Low Risk
46.56,892000.0,7.59e-06,649.6,14.2418867,3 ng/ml,Normal
51.11,1350000.0,7.75e-06,375.9,8.37758041,3 ng/ml,Normal
58.57,1540000.0,7.52e-06,353.6,166.7138502,3 ng/ml,Normal
57.03,872000.0,7.44e-06,695.6,38.53686988,1 ng/ml,Normal
63.63,1170000.0,7.23e-06,606.9,170.48,1 ng/ml,Normal
56.56,1550000.0,6.79e-06,381.2,276.0412745,1 ng/ml,Normal
72.81,1575269.0,8.13e-06,209.8,161.45229199,5 ng/mL,Normal
62.38,1432123.0,6.9e-06,310.9,8.79645943,30 ng/mL,Normal
59.67,1405136.0,8.13e-06,189.9,33.00786554,5 ng/mL,Normal
66.47,964840.0,8.13e-06,312.5,8.79645943,60 ng/mL,Normal
66.07,1286510.0,8.13e-06,255.9,302.7973513,5 ng/mL,Normal
72.81,2110000.0,6.9e-06,189.9,8.79645943,5 ng/mL,Normal
68.72,1245786.0,8.13e-06,189.9,70.83538495,5 ng/mL,Low Risk
54.9,1553195.0,8.13e-06,472.2,8.79645943,15 ng/mL,Low Risk
54.41,1228616.0,8.13e-06,539.9,335.5220954,30 ng/mL,Low Risk
61.09,1441582.0,8.13e-06,442.5,65.13374425,40 ng/mL,Low Risk
58.13,1462012.0,6.9e-06,363.3,331.97910355,30 ng/mL,Low Risk
47.73,1062066.0,8.13e-06,447.2,269.9683741,30 ng/mL,Low Risk
44.31,1318979.0,8.13e-06,539.9,191.11884857,60 ng/mL,High Risk
43.68,995725.0,6.9e-06,424.9,40.16679737,60 ng/mL,High Risk
58.58,1309361.0,8.13e-06,236.8,8.79645943,10 ng/mL,High Risk
53.84,1280988.0,6.9e-06,212.4,109.53942959,10 ng/mL,High Risk
48.94,1648289.0,6.9e-06,392.4,303.7805435,30 ng/mL,High Risk
68.13,1320284.0,8.13e-06,377.0,72.23097676,40 ng/mL,High Risk
