Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal
50.5,1600000.0,7.13e-06,441.9,16.34,260 ng/ml,High Risk
40.42,9630000.0,7.61e-06,405.8,35.19,260 ng/ml,High Risk
55.29,4380000.0,7.6e-06,372.1,47.75,260 ng/ml,High Risk
38.13,1210000.0,7.02e-06,350.7,37.7,250 ng/ml,High Risk
39.41,1290000.0,7.08e-06,386.6,32.67,250 ng/ml,High Risk
39.56,1970000.0,7.58e-06,294.8,174.67,250 ng/ml,High Risk
39.32,1370000.0,7.14e-06,337.3,41.47,240 ng/ml,Low Risk
38.16,901000.0,7.06e-06,330.3,99.27,240 ng/ml,Low Risk
42.06,1480000.0,7.23e-06,287.3,96.76,240 ng/ml,Low Risk
40.91,4478000.0,7.708e-06,470.7,108.07,230 ng/ml,Low Risk
41.99,2320000.0,8.1e-06,415.5,306.62,230 ng/ml,Low Risk
44.29,15700000.0,7.805e-06,413.8,79.17,230 ng/ml,Low Risk
46.31,4528000.0,7.57e-06,429.3,50.27,220 ng/ml,Normal
40.88,4220000.0,7.77e-06,446.7,135.72,220 ng/ml,Normal
40.45,92200000.0,7.72e-06,257.6,0.0,220 ng/ml,Normal
44.72,5730000.0,7.62e-06,492.3,52.78,210 ng/ml,Normal
53.74,17780000.0,7.638e-06,487.3,31.42,210 ng/ml,Normal
52.73,667000000000.0,7.77e-06,438.5,18.85,210 ng/ml,Normal
59.03,1892181.0,6.9e-06,189.9,8.79645943,5 ng/mL,Normal
51.68,1417104.0,6.9e-06,189.9,8.79645943,10 ng/mL,Normal
48.55,1337927.0,8.13e-06,487.1,63.63780127,40 ng/mL,Normal
72.81,1416399.0,8.13e-06,280.7,8.79645943,10 ng/mL,Normal
54.74,1458417.0,8.13e-06,194.5,8.79645943,10 ng/mL,Normal
63.51,1083379.0,8.13e-06,189.9,8.79645943,10 ng/mL,Normal
54.12,966122.0,6.9e-06,418.8,246.53998578,15 ng/mL,Low Risk
45.03,1356469.0,6.9e-06,460.1,238.44322743,15 ng/mL,Low Risk
55.79,1610030.0,8.13e-06,257.0,10.51355712,5 ng/mL,Low Risk
59.53,1321374.0,6.9e-06,299.7,322.70163498,30 ng/mL,Low Risk
57.73,1304524.0,6.9e-06,523.2,335.5220954,30 ng/mL,Low Risk
54.14,1216626.0,6.9e-06,360.0,160.19331497,40 ng/mL,Low Risk
48.2,1260423.0,8.13e-06,417.9,291.80525032,40 ng/mL,High Risk
62.6,1423422.0,6.9e-06,459.2,60.14462701,40 ng/mL,High Risk
57.37,1095279.0,8.13e-06,315.0,43.17061904,5 ng/mL,High Risk
63.83,1156395.0,6.9e-06,317.0,214.15253485,40 ng/mL,High Risk
53.05,1176256.0,8.13e-06,429.7,44.92172103,60 ng/mL,High Risk
46.7,1009206.0,8.13e-06,506.8,66.9915995,60 ng/mL,High Risk
