Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal
43.64,1220000.0,7.13e-06,406.7,105.5575132,60 ng/mL,High Risk
48.75,924000.0,7.23e-06,539.9,8.79645943,60 ng/mL,High Risk
46.78,1150000.0,6.9e-06,460.0,185.9822851,60 ng/mL,High Risk
62.3,1190000.0,7.81e-06,385.5,155.8229956,40 ng/mL,High Risk
60.37,859000.0,7.4e-06,339.0,111.8406985,40 ng/mL,High Risk
52.67,1010000.0,8.01e-06,271.9,319.1858136,40 ng/mL,High Risk
51.87,1560000.0,7.95e-06,316.2,223.6813969,30 ng/mL,Low Risk
45.33,1320000.0,8.13e-06,364.8,335.5220954,30 ng/mL,Low Risk
56.79,1160000.0,7.23e-06,431.2,64.08849013,30 ng/mL,Low Risk
53.45,1310000.0,7.85e-06,280.9,87.9645943,15 ng/mL,Low Risk
48.58,1500000.0,7.89e-06,376.7,221.1681228,15 ng/mL,Low Risk
51.04,1310000.0,7.52e-06,311.5,160.8495439,15 ng/mL,Low Risk
63.35,1810000.0,7.41e-06,337.1,20.10619298,10 ng/mL,Normal
53.22,2110000.0,7.25e-06,257.6,15.07964474,10 ng/mL,Normal
72.81,1480000.0,7.56e-06,189.9,98.01769079,10 ng/mL,Normal
55.34,1190000.0,7.45e-06,267.3,98.01769079,5 ng/mL,Normal
54.4,1200000.0,7.77e-06,400.2,143.256625,5 ng/mL,Normal
56.54,1190000.0,7.53e-06,323.3,42.72566009,5 ng/mL,Normal
67.51,100673763134.0,9.27e-06,211.0,1019.93,0.1 ng/mL,Normal
85.22,94300.0,7.41e-06,334.5,794.23,3 ng/mL,Normal
31.06,94300.0,7.41e-06,492.2,987.6,0.1 ng/mL,Normal
31.06,26000650995.0,7.41e-06,466.2,847.34,0.5 ng/mL,Normal
56.26,31445560498.0,7.41e-06,450.4,966.24,10 ng/mL,Normal
31.06,66056065344.0,7.41e-06,183.0,478.08,10 ng/mL,Normal
45.53,66773838927.0,7.41e-06,424.5,557.26,0.5 ng/mL,Normal
31.06,41523235929.0,7.41e-06,400.1,640.71,0.5 ng/mL,Normal
31.06,42936623863.0,9.27e-06,181.2,937.97,10 ng/mL,Normal
31.06,91613534290.0,9.27e-06,338.2,869.15,0.1 ng/mL,Normal
41.01,93041488060.0,7.41e-06,445.8,915.99,0.5 ng/mL,Normal
37.48,100482285878.0,7.41e-06,219.7,543.0,1 ng/mL,Normal
40.01,94300.0,7.41e-06,319.7,874.16,1 ng/mL,Low Risk
48.72,94300.0,7.41e-06,394.6,864.94,3 ng/mL,Low Risk
31.06,41762886640.0,9.27e-06,181.2,803.58,1 ng/mL,Low Risk
61.04,32703547409.0,7.41e-06,197.0,1019.93,3 ng/mL,Low Risk
31.06,41629948991.0,7.41e-06,242.2,1019.93,5 ng/mL,Low Risk
51.31,19068584074.0,7.41e-06,372.1,745.9,5 ng/mL,Low Risk
43.73,94300.0,7.41e-06,324.7,1019.93,1 ng/mL,Low Risk
67.05,17923315748.0,7.41e-06,284.4,1016.65,1 ng/mL,Low Risk
31.06,31483897515.0,7.41e-06,211.0,1019.93,5 ng/mL,Low Risk
73.73,94300.0,9.27e-06,226.4,1019.93,1 ng/mL,Low Risk
31.06,16504388006.0,7.41e-06,276.6,934.77,1 ng/mL,Low Risk
31.06,45068705407.0,9.27e-06,181.2,1019.93,1 ng/mL,Low Risk
69.55,100153154249.0,9.27e-06,269.8,564.08,10 ng/mL,High Risk
38.25,15310955729.0,7.41e-06,436.8,808.32,3 ng/mL,High Risk
33.83,61843915495.0,9.27e-06,181.2,862.0,3 ng/mL,High Risk
50.14,39505296099.0,9.27e-06,181.2,941.38,10 ng/mL,High Risk
34.08,71832997087.0,9.27e-06,181.2,481.28,0.1 ng/mL,High Risk
31.06,24005820838.0,9.27e-06,181.2,607.68,1 ng/mL,High Risk
55.23,6348479024.0,7.41e-06,269.1,597.9,10 ng/mL,High Risk
31.06,94300.0,7.41e-06,492.2,860.12,5 ng/mL,High Risk
57.09,85857132089.0,9.27e-06,181.2,598.16,5 ng/mL,High Risk
53.38,33256116481.0,9.27e-06,184.0,479.35,5 ng/mL,High Risk
31.06,95328134238.0,7.41e-06,194.1,970.54,10 ng/mL,High Risk
31.06,94300.0,9.27e-06,181.2,804.06,10 ng/mL,High Risk
