Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal
40.97,1.46E+06,6.67E-06,189.80,4040.088153,Control- Human sample,
39.04,1.80E+06,6.75E-06,257.60,4017.468685,Control- Human sample,
40.32,2.00E+06,7.06E-06,246.8,3870.442149,Control- Human sample,
33.09,2.00E+06,7.65E-06,269.9,3.65E+03,Diseased- Human Sample,
37.71,1.75E+06,7.09E-06,278.3,3.84E+03,Diseased- Human Sample,
38.42,1.42E+06,7.26E-06,205.3,3.74E+03,Diseased- Human Sample,
56.31,2.08E+06,7.43E-06,340.6,3664.353671,Control- Cell supernatant,
71.43,4.83E+06,7.50E-06,255.2,3857.875779,Control- Cell supernatant,
49.33,2.56E+06,7.63E-06,233.8,3812.636844,Control- Cell supernatant,
47.27,1.75E+06,7.59E-06,365.7,3695.769598,Treated- Cell supernatant,
47.15,1.55E+06,8.26E-06,374.2,3434.389089,Treated- Cell supernatant,
45.5,9.54E+05,7.69E-06,363,3611.574915,Treated- Cell supernatant,
