Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal,Prob_High Risk,Prob_Low Risk,Prob_Normal
40.97,1460000.0,6.67e-06,189.8,4040.088153,Control- Human sample,Low Risk,0.14356142456093152,0.6150471574848603,0.24139141795420824
39.04,1800000.0,6.75e-06,257.6,4017.468685,Control- Human sample,Low Risk,0.127952633066064,0.6084555094491745,0.2635918574847615
40.32,2000000.0,7.06e-06,246.8,3870.442149,Control- Human sample,Low Risk,0.14568337271024906,0.5885950739424957,0.26572155334725533
33.09,2000000.0,7.65e-06,269.9,3650.0,Diseased- Human Sample,Low Risk,0.16140908457534398,0.5651547768508842,0.27343613857377186
37.71,1750000.0,7.09e-06,278.3,3840.0,Diseased- Human Sample,Low Risk,0.13802461769266347,0.5871807232096368,0.2747946590976998
38.42,1420000.0,7.26e-06,205.3,3740.0,Diseased- Human Sample,Low Risk,0.16557943574964032,0.5800448164420512,0.25437574780830857
56.31,2080000.0,7.43e-06,340.6,3664.353671,Control- Cell supernatant,Low Risk,0.14604247140663107,0.5553986693956962,0.2985588591976727
71.43,4830000.0,7.5e-06,255.2,3857.875779,Control- Cell supernatant,Low Risk,0.1546379038431807,0.5600848410320537,0.28527725512476565
49.33,2560000.0,7.63e-06,233.8,3812.636844,Control- Cell supernatant,Low Risk,0.16785716793569522,0.5689438234623624,0.2631990086019424
47.27,1750000.0,7.59e-06,365.7,3695.769598,Treated- Cell supernatant,Low Risk,0.1423702928030162,0.555115182546955,0.30251452465002876
47.15,1550000.0,8.26e-06,374.2,3434.389089,Treated- Cell supernatant,Low Risk,0.1696985420009664,0.5232460774066351,0.30705538059239845
45.5,954000.0,7.69e-06,363.0,3611.574915,Treated- Cell supernatant,Low Risk,0.1494306683564862,0.5468783187493936,0.30369101289412015
