Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal,Prob_High Risk,Prob_Low Risk,Prob_Normal
40.97,1460000.0,6.67e-06,189.8,4040.088153,Control- Human sample,Normal,0.2948624778524613,0.35210847720217936,0.3530290449453593
39.04,1800000.0,6.75e-06,257.6,4017.468685,Control- Human sample,Normal,0.2948624778524613,0.35210847720217936,0.3530290449453593
40.32,2000000.0,7.06e-06,246.8,3870.442149,Control- Human sample,Normal,0.2948624778524613,0.35210847720217936,0.3530290449453593
33.09,2000000.0,7.65e-06,269.9,3650.0,Diseased- Human Sample,Normal,0.2948624778524613,0.35210847720217936,0.3530290449453593
37.71,1750000.0,7.09e-06,278.3,3840.0,Diseased- Human Sample,Normal,0.2948624778524613,0.35210847720217936,0.3530290449453593
38.42,1420000.0,7.26e-06,205.3,3740.0,Diseased- Human Sample,Normal,0.2948624778524613,0.35210847720217936,0.3530290449453593
56.31,2080000.0,7.43e-06,340.6,3664.353671,Control- Cell supernatant,Normal,0.2948624778524613,0.35210847720217936,0.3530290449453593
71.43,4830000.0,7.5e-06,255.2,3857.875779,Control- Cell supernatant,Normal,0.2948624778524613,0.35210847720217936,0.3530290449453593
49.33,2560000.0,7.63e-06,233.8,3812.636844,Control- Cell supernatant,Normal,0.2948624778524613,0.35210847720217936,0.3530290449453593
47.27,1750000.0,7.59e-06,365.7,3695.769598,Treated- Cell supernatant,Normal,0.2948624778524613,0.35210847720217936,0.3530290449453593
47.15,1550000.0,8.26e-06,374.2,3434.389089,Treated- Cell supernatant,Normal,0.2948624778524613,0.35210847720217936,0.3530290449453593
45.5,954000.0,7.69e-06,363.0,3611.574915,Treated- Cell supernatant,Normal,0.2948624778524613,0.35210847720217936,0.3530290449453593
