Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal
37.19,1.32E+06,7.52E-06,223.10,3014.67231,Control- Human sample,
32.07,1.06E+06,7.16E-06,228.90,3091.327171,Control- Human sample,
34.69,1.92E+06,7.72E-06,163.90,2921.681168,Control- Human sample,
41.4,1.34E+06,8.53E-06,199.1,2620.088273,Diseased- Human Sample,
37.46,1.05E+06,7.56E-06,202.2,2944.300635,Diseased- Human Sample,
45.92,1.20E+06,7.77E-06,217,2900.318338,Diseased- Human Sample,
32.65,4.12E+05,1.75E-05,651,1780.654716,Control- Cell supernatant,
27.86,1.92E+10,1.86E-04,1291,241.6513069,Control- Cell supernatant,
29.63,2.74E+04,1.05E-05,602.9,1691.433485,Control- Cell supernatant,
38.95,3.60E+04,1.22E-05,736.2,1715.309589,Treated- Cell supernatant,
36.91,2.81E+03,1.67E-05,1076,321.4477603,Treated- Cell supernatant,
39.45,1.37E+05,8.21E-06,815.7,2726.902423,Treated- Cell supernatant,
47.92,2.68E+06,8.08E-06,173.3,2816.123655,Control 1-Mice sample,
36.85,1.16E+06,7.55E-06,343,2875.185597,Control 1-Mice sample,
38.12,1.01E+06,7.53E-06,213.9,2838.743122,Control 1-Mice sample,
42.73,1.72E+06,7.88E-06,265.1,2880.212145,Control 2-Mice sample,
27.77,1.18E+06,7.72E-06,344.7,2832.459936,Control 2-Mice sample,
43.73,1.21E+06,7.70E-06,336.5,2865.1325,Control 2-Mice sample,
42.67,1.43E+06,7.98E-06,368.1,2818.636929,Control 3-Mice sample,
44.91,1.42E+06,8.12E-06,468.3,2759.574987,Control 3-Mice sample,
44.28,1.93E+06,8.25E-06,318.1,2745.751979,Control 3-Mice sample,
43.85,1.04E+06,7.67E-06,268.3,2865.1325,Diseased 1-Mice sample,
44.78,8.10E+05,7.45E-06,326.7,2959.38028,Diseased 1-Mice sample,
43.87,1.30E+06,7.98E-06,205.4,2789.734276,Diseased 1-Mice sample,
58.26,1.69E+06,7.88E-06,272.2,2887.751967,Diseased 2-Mice sample,
51.4,1.45E+06,7.83E-06,278.3,2872.672322,Diseased 2-Mice sample,
46.77,1.72E+06,8.16E-06,394.4,2811.097106,Diseased 2-Mice sample,
41.76,1.02E+06,7.82E-06,240.8,2846.282944,Diseased 3-Mice sample,
49.62,2.84E+06,7.85E-06,228.6,2911.628071,Diseased 3-Mice sample,
49.95,2.25E+06,8.17E-06,344.4,2797.274099,Diseased 3-Mice sample,
