Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal,Prob_High Risk,Prob_Low Risk,Prob_Normal
37.19,1320000.0,7.52e-06,223.1,3014.67231,Control- Human sample,Low Risk,0.0002980799673735191,0.9732812625688527,0.02642065746377377
32.07,1060000.0,7.16e-06,228.9,3091.327171,Control- Human sample,Low Risk,0.000172244951980925,0.9823438300924161,0.017483924955602942
34.69,1920000.0,7.72e-06,163.9,2921.681168,Control- Human sample,Low Risk,0.0004940048266517391,0.9668683822764342,0.03263761289691418
41.4,1340000.0,8.53e-06,199.1,2620.088273,Diseased- Human Sample,Low Risk,0.0014840860172968626,0.9333217788229214,0.0651941351597817
37.46,1050000.0,7.56e-06,202.2,2944.300635,Diseased- Human Sample,Low Risk,0.0003952768736103965,0.9696914820588426,0.029913241067547107
45.92,1200000.0,7.77e-06,217.0,2900.318338,Diseased- Human Sample,Low Risk,0.0005513911771194623,0.9583255658652774,0.041123042957603204
32.65,412000.0,1.75e-05,651.0,1780.654716,Control- Cell supernatant,Normal,0.3538766756426355,0.047340258775654634,0.5987830655817099
27.86,19200000000.0,0.000186,1291.0,241.6513069,Control- Cell supernatant,High Risk,0.9904099951032311,1.5285727687532143e-38,0.009590004896768822
29.63,27400.0,1.05e-05,602.9,1691.433485,Control- Cell supernatant,Low Risk,0.020008011545577273,0.7992790255682138,0.180712962886209
38.95,36000.0,1.22e-05,736.2,1715.309589,Treated- Cell supernatant,Low Risk,0.052189574834592176,0.6232416887107055,0.3245687364547023
36.91,2810.0,1.67e-05,1076.0,321.4477603,Treated- Cell supernatant,High Risk,0.6321998107507508,0.01914682153366782,0.34865336771558136
39.45,137000.0,8.21e-06,815.7,2726.902423,Treated- Cell supernatant,Low Risk,0.0002680213336852519,0.9772080577615287,0.022523920904785937
47.92,2680000.0,8.08e-06,173.3,2816.123655,Control 1-Mice sample,Low Risk,0.0008268131489891711,0.945545523744859,0.053627663106151725
36.85,1160000.0,7.55e-06,343.0,2875.185597,Control 1-Mice sample,Low Risk,0.0003300439031514626,0.9742869289629157,0.025383027133932784
38.12,1010000.0,7.53e-06,213.9,2838.743122,Control 1-Mice sample,Low Risk,0.0005020521513963351,0.9672114766844548,0.03228647116414872
42.73,1720000.0,7.88e-06,265.1,2880.212145,Control 2-Mice sample,Low Risk,0.0005438450782815368,0.9599961306803799,0.03946002424133843
27.77,1180000.0,7.72e-06,344.7,2832.459936,Control 2-Mice sample,Low Risk,0.00034133827234999895,0.9763988944188721,0.023259767308777848
43.73,1210000.0,7.7e-06,336.5,2865.1325,Control 2-Mice sample,Low Risk,0.00043588952431383325,0.9662282289881952,0.03333588148749104
42.67,1430000.0,7.98e-06,368.1,2818.636929,Control 3-Mice sample,Low Risk,0.0005360328821855839,0.9614721683515932,0.0379917987662213
44.91,1420000.0,8.12e-06,468.3,2759.574987,Control 3-Mice sample,Low Risk,0.0005675046294841137,0.9598049468113993,0.03962754855911663
44.28,1930000.0,8.25e-06,318.1,2745.751979,Control 3-Mice sample,Low Risk,0.0008612252263479828,0.947598662914599,0.05154011185905281
43.85,1040000.0,7.67e-06,268.3,2865.1325,Diseased 1-Mice sample,Low Risk,0.0005026896231466362,0.9632246158206976,0.036272694556155685
44.78,810000.0,7.45e-06,326.7,2959.38028,Diseased 1-Mice sample,Low Risk,0.0003021508244470951,0.9721055786345135,0.02759227054103939
43.87,1300000.0,7.98e-06,205.4,2789.734276,Diseased 1-Mice sample,Low Risk,0.0007775208464111432,0.9517703451602575,0.047452133993331536
58.26,1690000.0,7.88e-06,272.2,2887.751967,Diseased 2-Mice sample,Low Risk,0.000665588066696527,0.9454795684952557,0.05385484343804774
51.4,1450000.0,7.83e-06,278.3,2872.672322,Diseased 2-Mice sample,Low Risk,0.0006127324823707212,0.9530714303114627,0.046315837206166645
46.77,1720000.0,8.16e-06,394.4,2811.097106,Diseased 2-Mice sample,Low Risk,0.0006259683934671306,0.9543440382359991,0.045029993370533684
41.76,1020000.0,7.82e-06,240.8,2846.282944,Diseased 3-Mice sample,Low Risk,0.0005927821908058486,0.9597105772322652,0.039696640576929086
49.62,2840000.0,7.85e-06,228.6,2911.628071,Diseased 3-Mice sample,Low Risk,0.000575068962867154,0.9543509448988862,0.045073986138246674
49.95,2250000.0,8.17e-06,344.4,2797.274099,Diseased 3-Mice sample,Low Risk,0.0007720595334795106,0.9465056568460225,0.05272228362049786
