Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal,Prob_High Risk,Prob_Low Risk,Prob_Normal
37.19,1320000.0,7.52e-06,223.1,3014.67231,Control- Human sample,Normal,0.14321168143579271,0.1562565073149872,0.7005318112492201
32.07,1060000.0,7.16e-06,228.9,3091.327171,Control- Human sample,Normal,0.143169316722678,0.15609090070828097,0.7007397825690409
34.69,1920000.0,7.72e-06,163.9,2921.681168,Control- Human sample,Normal,0.1432927277655672,0.15656176371966327,0.7001455085147693
41.4,1340000.0,8.53e-06,199.1,2620.088273,Diseased- Human Sample,Normal,0.14397695672149402,0.15921979269834416,0.6968032505801618
37.46,1050000.0,7.56e-06,202.2,2944.300635,Diseased- Human Sample,Normal,0.14327130307604,0.15647987769641422,0.7002488192275457
45.92,1200000.0,7.77e-06,217.0,2900.318338,Diseased- Human Sample,Normal,0.1433193586874844,0.1566558864183967,0.7000247548941186
32.65,412000.0,1.75e-05,651.0,1780.654716,Control- Cell supernatant,Normal,0.14336846340913456,0.1567408929870963,0.6998906436037692
27.86,19200000000.0,0.000186,1291.0,241.6513069,Control- Cell supernatant,Normal,0.14309271804852783,0.1557907147169921,0.7011165672344799
29.63,27400.0,1.05e-05,602.9,1691.433485,Control- Cell supernatant,Normal,0.15555371384713487,0.2250041411902399,0.6194421449626253
38.95,36000.0,1.22e-05,736.2,1715.309589,Treated- Cell supernatant,Normal,0.14692757920869198,0.18330265917216162,0.6697697616191461
36.91,2810.0,1.67e-05,1076.0,321.4477603,Treated- Cell supernatant,Normal,0.14560783575555133,0.1558877794986123,0.6985043847458363
39.45,137000.0,8.21e-06,815.7,2726.902423,Treated- Cell supernatant,Normal,0.14323396758720378,0.15702295175684272,0.6997430806559536
47.92,2680000.0,8.08e-06,173.3,2816.123655,Control 1-Mice sample,Normal,0.14344509502709432,0.15711441642301163,0.6994404885498939
36.85,1160000.0,7.55e-06,343.0,2875.185597,Control 1-Mice sample,Normal,0.14332966811411005,0.1567672103951583,0.6999031214907317
38.12,1010000.0,7.53e-06,213.9,2838.743122,Control 1-Mice sample,Normal,0.14341141320349862,0.15700993256918433,0.699578654227317
42.73,1720000.0,7.88e-06,265.1,2880.212145,Control 2-Mice sample,Normal,0.1433340533782267,0.15674646766419,0.6999194789575833
27.77,1180000.0,7.72e-06,344.7,2832.459936,Control 2-Mice sample,Normal,0.14336994123715832,0.15698396630187778,0.6996460924609639
43.73,1210000.0,7.7e-06,336.5,2865.1325,Control 2-Mice sample,Normal,0.14334630091490042,0.15681639495870103,0.6998373041263986
42.67,1430000.0,7.98e-06,368.1,2818.636929,Control 3-Mice sample,Normal,0.14339597091080364,0.1570646781361572,0.699539350953039
44.91,1420000.0,8.12e-06,468.3,2759.574987,Control 3-Mice sample,Normal,0.1434504857719269,0.15739989156680323,0.6991496226612697
44.28,1930000.0,8.25e-06,318.1,2745.751979,Control 3-Mice sample,Normal,0.14354597140269468,0.15764020898397763,0.6988138196133276
43.85,1040000.0,7.67e-06,268.3,2865.1325,Diseased 1-Mice sample,Normal,0.14336144503017942,0.15683706570724473,0.699801489262576
44.78,810000.0,7.45e-06,326.7,2959.38028,Diseased 1-Mice sample,Normal,0.14324889919628017,0.1564126874447274,0.700338413358992
43.87,1300000.0,7.98e-06,205.4,2789.734276,Diseased 1-Mice sample,Normal,0.14349521175847194,0.1573292524891157,0.6991755357524128
58.26,1690000.0,7.88e-06,272.2,2887.751967,Diseased 2-Mice sample,Normal,0.14332552740786045,0.15667198270690533,0.700002489885234
51.4,1450000.0,7.83e-06,278.3,2872.672322,Diseased 2-Mice sample,Normal,0.1433469321555719,0.15677190228197588,0.6998811655624523
46.77,1720000.0,8.16e-06,394.4,2811.097106,Diseased 2-Mice sample,Normal,0.14339411908271532,0.15707468836542984,0.699531192551855
41.76,1020000.0,7.82e-06,240.8,2846.282944,Diseased 3-Mice sample,Normal,0.14338886268961315,0.1569447792955261,0.699666358014861
49.62,2840000.0,7.85e-06,228.6,2911.628071,Diseased 3-Mice sample,Normal,0.1433034544402544,0.15659484354478415,0.7001017020149616
49.95,2250000.0,8.17e-06,344.4,2797.274099,Diseased 3-Mice sample,Normal,0.14343772610768377,0.15719318797943158,0.6993690859128846
