Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal
34.4,1.01E+06,7.35E-06,141.00,2880.212145,Control- Human sample,
36.07,1.77E+06,7.24E-06,250.30,3058.654608,Control- Human sample,
32.37,1.11E+06,6.94E-06,254.40,3097.610356,Control- Human sample,
37.77,8.37E-06,1.70E+06,95.37,2664.07057,Diseased- Human Sample,
35.82,8.10E-06,1.30E+06,266.4,2697.999771,Diseased- Human Sample,
34.32,7.77E-06,1.04E+06,173.3,2762.088261,Diseased- Human Sample,
38.52,2.00E+06,6.86E-06,381.7,3229.557248,Control- Cell supernatant,
46.67,3.20E+06,7.10E-06,324.1,3162.955484,Control- Cell supernatant,
42.05,2.12E+06,7.29E-06,364,3090.070534,Control- Cell supernatant,
32.58,1.32E+06,7.01E-06,410.6,3152.902387,Treated- Cell supernatant,
51.84,1.20E+06,7.60E-06,389.4,2818.636929,Treated- Cell supernatant,
30.42,2.32E+06,7.79E-06,621.6,2887.751967,Treated- Cell supernatant,
30.45,1.49E+06,7.31E-06,259.6,2968.176739,Control 1-Mice sample,
31.63,9.75E+05,7.30E-06,280.5,2939.274087,Control 1-Mice sample,
49.13,2.18E+06,7.20E-06,766.5,3160.44221,Control 1-Mice sample,
30.08,1.22E+06,7.34E-06,352.4,3063.681156,Control 2-Mice sample,
39.98,1.43E+06,7.20E-06,414.4,3170.495306,Control 2-Mice sample,
33.56,1.30E+06,7.50E-06,343.6,2979.486473,Control 2-Mice sample,
37.09,2.12E+06,7.28E-06,298.6,2925.451079,Control 3-Mice sample,
41.04,1.47E+06,7.78E-06,300.2,2832.459936,Control 3-Mice sample,
33.12,1.01E+06,7.19E-06,215.7,3117.716549,Control 3-Mice sample,
30.48,1.35E+06,6.96E-06,399.4,3156.672298,Diseased 1-Mice sample,
30.97,1.02E+06,7.18E-06,428.8,3066.19443,Diseased 1-Mice sample,
32.15,1.02E+06,7.15E-06,211.1,3062.424519,Diseased 1-Mice sample,
21.42,8.68E+05,6.36E-06,264.2,3291.132464,Diseased 2-Mice sample,
35.68,1.20E+06,7.42E-06,331.2,2960.636917,Diseased 2-Mice sample,
31.86,1.20E+06,7.49E-06,376,2956.867006,Diseased 2-Mice sample,
33.78,1.54E+06,7.23E-06,191.7,3101.380268,Diseased 3-Mice sample,
26.45,1.00E+06,6.61E-06,178.3,3263.486449,Diseased 3-Mice sample,
31.65,1.53E+06,7.02E-06,215.7,3166.725395,Diseased 3-Mice sample,
