Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal,Prob_High Risk,Prob_Low Risk,Prob_Normal
34.4,1010000.0,7.35e-06,141.0,2880.212145,Control- Human sample,Low Risk,0.12250528343393505,0.72397943205081,0.1535152845152552
36.07,1770000.0,7.24e-06,250.3,3058.654608,Control- Human sample,Low Risk,0.10870869154531008,0.741375962372217,0.14991534608247278
32.37,1110000.0,6.94e-06,254.4,3097.610356,Control- Human sample,Low Risk,0.1007843886551794,0.7535924544395486,0.14562315690527203
37.77,8.37e-06,1700000.0,95.37,2664.07057,Diseased- Human Sample,High Risk,1.0,0.0,0.0
35.82,8.1e-06,1300000.0,266.4,2697.999771,Diseased- Human Sample,High Risk,1.0,0.0,0.0
34.32,7.77e-06,1040000.0,173.3,2762.088261,Diseased- Human Sample,High Risk,1.0,0.0,0.0
38.52,2000000.0,6.86e-06,381.7,3229.557248,Control- Cell supernatant,Low Risk,0.09036107779550145,0.7625575304892785,0.14708139171522008
46.67,3200000.0,7.1e-06,324.1,3162.955484,Control- Cell supernatant,Low Risk,0.10280515709027117,0.743726460603345,0.15346838230638374
42.05,2120000.0,7.29e-06,364.0,3090.070534,Control- Cell supernatant,Low Risk,0.10739906191651348,0.7360474296238746,0.1565535084596121
32.58,1320000.0,7.01e-06,410.6,3152.902387,Treated- Cell supernatant,Low Risk,0.0953035783779451,0.7555035721130886,0.14919284950896633
51.84,1200000.0,7.6e-06,389.4,2818.636929,Treated- Cell supernatant,Low Risk,0.14306974920556179,0.6780965331631054,0.17883371763133293
30.42,2320000.0,7.79e-06,621.6,2887.751967,Treated- Cell supernatant,Low Risk,0.11373599030603551,0.7138766044742079,0.17238740521975665
30.45,1490000.0,7.31e-06,259.6,2968.176739,Control 1-Mice sample,Low Risk,0.11138344643491178,0.736903251991234,0.15171330157385432
31.63,975000.0,7.3e-06,280.5,2939.274087,Control 1-Mice sample,Low Risk,0.11294362250163562,0.7322440269066781,0.1548123505916862
49.13,2180000.0,7.2e-06,766.5,3160.44221,Control 1-Mice sample,Low Risk,0.09450028331223646,0.7338365528353192,0.1716631638524444
30.08,1220000.0,7.34e-06,352.4,3063.681156,Control 2-Mice sample,Low Risk,0.10637560130466851,0.7430853548501273,0.1505390438452043
39.98,1430000.0,7.2e-06,414.4,3170.495306,Control 2-Mice sample,Low Risk,0.09747826811055961,0.749644786031887,0.1528769458575533
33.56,1300000.0,7.5e-06,343.6,2979.486473,Control 2-Mice sample,Low Risk,0.11258143841181234,0.7307907196412479,0.15662784194693988
37.09,2120000.0,7.28e-06,298.6,2925.451079,Control 3-Mice sample,Low Risk,0.11496300144165417,0.7254504712594095,0.15958652729893638
41.04,1470000.0,7.78e-06,300.2,2832.459936,Control 3-Mice sample,Low Risk,0.13763706942905507,0.6952961487122032,0.16706678185874166
33.12,1010000.0,7.19e-06,215.7,3117.716549,Control 3-Mice sample,Low Risk,0.10499517436334944,0.7512022756601752,0.1438025499764755
30.48,1350000.0,6.96e-06,399.4,3156.672298,Diseased 1-Mice sample,Low Risk,0.09460088064978435,0.7580963780176192,0.14730274133259638
30.97,1020000.0,7.18e-06,428.8,3066.19443,Diseased 1-Mice sample,Low Risk,0.10163386864746944,0.7445003004170577,0.15386583093547287
32.15,1020000.0,7.15e-06,211.1,3062.424519,Diseased 1-Mice sample,Low Risk,0.10722952817451008,0.7469330603156145,0.14583741150987542
21.42,868000.0,6.36e-06,264.2,3291.132464,Diseased 2-Mice sample,Low Risk,0.08291161954717548,0.7873323632727681,0.12975601718005633
35.68,1200000.0,7.42e-06,331.2,2960.636917,Diseased 2-Mice sample,Low Risk,0.114388926604915,0.7272463767912883,0.15836469660379662
31.86,1200000.0,7.49e-06,376.0,2956.867006,Diseased 2-Mice sample,Low Risk,0.11185425151837344,0.7299366761203732,0.15820907236125345
33.78,1540000.0,7.23e-06,191.7,3101.380268,Diseased 3-Mice sample,Low Risk,0.10670011639619406,0.7492729242652919,0.1440269593385141
26.45,1000000.0,6.61e-06,178.3,3263.486449,Diseased 3-Mice sample,Low Risk,0.08968831529991435,0.7793582708504381,0.13095341384964754
31.65,1530000.0,7.02e-06,215.7,3166.725395,Diseased 3-Mice sample,Low Risk,0.09972618481852266,0.7599301124181858,0.14034370276329158
