Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal,Prob_High Risk,Prob_Low Risk,Prob_Normal
34.4,1010000.0,7.35e-06,141.0,2880.212145,Control- Human sample,High Risk,0.22636626263046805,0.41702323570429317,0.35661050166523883
36.07,1770000.0,7.24e-06,250.3,3058.654608,Control- Human sample,High Risk,0.22636626265213752,0.41702323569187616,0.3566105016559863
32.37,1110000.0,6.94e-06,254.4,3097.610356,Control- Human sample,High Risk,0.2263662626544097,0.41702323569026223,0.356610501655328
37.77,8.37e-06,1700000.0,95.37,2664.07057,Diseased- Human Sample,High Risk,0.22636626265516985,0.4170232356897541,0.3566105016550761
35.82,8.1e-06,1300000.0,266.4,2697.999771,Diseased- Human Sample,High Risk,0.22636626265516985,0.4170232356897541,0.3566105016550761
34.32,7.77e-06,1040000.0,173.3,2762.088261,Diseased- Human Sample,High Risk,0.22636626265516985,0.4170232356897541,0.3566105016550761
38.52,2000000.0,6.86e-06,381.7,3229.557248,Control- Cell supernatant,High Risk,0.22636626265494647,0.41702323568991634,0.356610501655137
46.67,3200000.0,7.1e-06,324.1,3162.955484,Control- Cell supernatant,High Risk,0.22636626265365878,0.41702323569086464,0.35661050165547664
42.05,2120000.0,7.29e-06,364.0,3090.070534,Control- Cell supernatant,High Risk,0.2263662626505504,0.4170232356931237,0.35661050165632585
32.58,1320000.0,7.01e-06,410.6,3152.902387,Treated- Cell supernatant,High Risk,0.22636626265460802,0.4170232356901538,0.356610501655238
51.84,1200000.0,7.6e-06,389.4,2818.636929,Treated- Cell supernatant,High Risk,0.22636626195543852,0.41702323619924836,0.356610501845313
30.42,2320000.0,7.79e-06,621.6,2887.751967,Treated- Cell supernatant,High Risk,0.2263662625612882,0.4170232357570023,0.3566105016817095
30.45,1490000.0,7.31e-06,259.6,2968.176739,Control 1-Mice sample,High Risk,0.22636626264839765,0.4170232356941188,0.3566105016574837
31.63,975000.0,7.3e-06,280.5,2939.274087,Control 1-Mice sample,High Risk,0.22636626264315327,0.4170232356974765,0.3566105016593703
49.13,2180000.0,7.2e-06,766.5,3160.44221,Control 1-Mice sample,High Risk,0.22636626264969684,0.41702323569383787,0.3566105016564654
30.08,1220000.0,7.34e-06,352.4,3063.681156,Control 2-Mice sample,High Risk,0.22636626265292356,0.41702323569132327,0.3566105016557532
39.98,1430000.0,7.2e-06,414.4,3170.495306,Control 2-Mice sample,High Risk,0.22636626265405374,0.4170232356905727,0.35661050165537345
33.56,1300000.0,7.5e-06,343.6,2979.486473,Control 2-Mice sample,High Risk,0.2263662626418736,0.41702323569907074,0.35661050165905556
37.09,2120000.0,7.28e-06,298.6,2925.451079,Control 3-Mice sample,High Risk,0.22636626262850001,0.41702323570777583,0.35661050166372427
41.04,1470000.0,7.78e-06,300.2,2832.459936,Control 3-Mice sample,High Risk,0.22636626239964952,0.41702323587021123,0.3566105017301391
33.12,1010000.0,7.19e-06,215.7,3117.716549,Control 3-Mice sample,High Risk,0.2263662626543806,0.417023235690303,0.3566105016553163
30.48,1350000.0,6.96e-06,399.4,3156.672298,Diseased 1-Mice sample,High Risk,0.2263662626547863,0.4170232356900235,0.3566105016551902
30.97,1020000.0,7.18e-06,428.8,3066.19443,Diseased 1-Mice sample,High Risk,0.2263662626528338,0.41702323569139127,0.35661050165577485
32.15,1020000.0,7.15e-06,211.1,3062.424519,Diseased 1-Mice sample,High Risk,0.2263662626536666,0.4170232356907585,0.35661050165557473
21.42,868000.0,6.36e-06,264.2,3291.132464,Diseased 2-Mice sample,High Risk,0.226366262655166,0.41702323568975647,0.3566105016550776
35.68,1200000.0,7.42e-06,331.2,2960.636917,Diseased 2-Mice sample,High Risk,0.22636626263635207,0.4170232357028703,0.35661050166077746
31.86,1200000.0,7.49e-06,376.0,2956.867006,Diseased 2-Mice sample,High Risk,0.22636626263877943,0.41702323570109384,0.3566105016601267
33.78,1540000.0,7.23e-06,191.7,3101.380268,Diseased 3-Mice sample,High Risk,0.2263662626541002,0.417023235690496,0.35661050165540376
26.45,1000000.0,6.61e-06,178.3,3263.486449,Diseased 3-Mice sample,High Risk,0.22636626265515572,0.4170232356897631,0.35661050165508107
31.65,1530000.0,7.02e-06,215.7,3166.725395,Diseased 3-Mice sample,High Risk,0.22636626265491933,0.417023235689927,0.3566105016551537
