Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal,Prob_High Risk,Prob_Low Risk,Prob_Normal
41.73,971000,7.83E-06,189.5,2807.327195,Control- Human sample,Low Risk,0.000672421,0.999327413,1.66E-07
36.52,912000,7.70E-06,240.5,2838.743122,Control- Human sample,Low Risk,0.000543679,0.999456196,1.25E-07
41.58,1430000,8.06E-06,191.7,2767.114809,Control- Human sample,Low Risk,0.000332915,0.999666886,1.99E-07
44.35,49500,1.18E-05,210.1,1853.539666,Diseased- Human Sample,High Risk,0.780170845,0.219823641,5.51E-06
33.53,266000,7.52E-06,242.5,2949.327183,Diseased- Human Sample,Low Risk,0.001446864,0.998553072,6.45E-08
30.52,1360000,7.50E-06,183.8,2901.574975,Diseased- Human Sample,Low Risk,0.000136513,0.999863408,7.91E-08
45.4,213000,8.19E-06,407.9,2784.707728,Control- Cell supernatant,Low Risk,0.005511345,0.994488476,1.79E-07
54.06,1830,2.36E-05,1179,219.785822,Control- Cell supernatant,High Risk,1,8.08E-17,1.82E-12
37.21,390000,7.71E-06,654.1,2935.504176,Control- Cell supernatant,Low Risk,0.00109831,0.998901629,6.10E-08
43.91,331000,8.13E-06,524.7,2892.778515,Treated- Cell supernatant,Low Risk,0.002573902,0.997426009,8.93E-08
28.01,4970,9.46E-06,933.2,573.5291548,Treated- Cell supernatant,High Risk,0.999309335,0.000593286,9.74E-05
51.71,1060000,7.53E-06,445.8,3042.318326,Treated- Cell supernatant,Low Risk,0.000206324,0.99979363,4.55E-08
