Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal,Prob_High Risk,Prob_Low Risk,Prob_Normal
41.73,971000.0,7.83e-06,189.5,2807.327195,Control- Human sample,High Risk,0.34901284417934897,0.3651884490674902,0.2857987067531607
36.52,912000.0,7.7e-06,240.5,2838.743122,Control- Human sample,High Risk,0.34887057392564663,0.36513300641441876,0.28599641965993444
41.58,1430000.0,8.06e-06,191.7,2767.114809,Control- Human sample,High Risk,0.3492376473759071,0.3652410946144485,0.28552125800964456
44.35,49500.0,1.18e-05,210.1,1853.539666,Diseased- Human Sample,High Risk,0.37301340434857555,0.37916681709077227,0.24781977856065218
33.53,266000.0,7.52e-06,242.5,2949.327183,Diseased- Human Sample,High Risk,0.3484952425047778,0.36497557204539605,0.28652918544982614
30.52,1360000.0,7.5e-06,183.8,2901.574975,Diseased- Human Sample,High Risk,0.34863756762867504,0.3650003601942429,0.2863620721770819
45.4,213000.0,8.19e-06,407.9,2784.707728,Control- Cell supernatant,High Risk,0.3490665178095873,0.36529627095664363,0.2856372112337691
54.06,1830.0,2.36e-05,1179.0,219.785822,Control- Cell supernatant,High Risk,0.34816384094748754,0.36481975265684996,0.2870164063956624
37.21,390000.0,7.71e-06,654.1,2935.504176,Control- Cell supernatant,High Risk,0.34853586484393856,0.36500386583214517,0.286460269323916
43.91,331000.0,8.13e-06,524.7,2892.778515,Treated- Cell supernatant,High Risk,0.3486676309244508,0.36507079564595835,0.286261573429591
28.01,4970.0,9.46e-06,933.2,573.5291548,Treated- Cell supernatant,High Risk,0.364532994154277,0.6137222416253196,0.021744764220403688
51.71,1060000.0,7.53e-06,445.8,3042.318326,Treated- Cell supernatant,High Risk,0.3484002613375737,0.3649081771581016,0.28669156150432495
