Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal
54.3,2.00E+06,0.00000741,241.2,574.91,10 ng/mL,High Risk
54.3,2.00E+06,0.00000741,241.2,574.91,10 ng/mL,High Risk
63.7,1.01E+06,0.00000781,346.4,202.95,10 ng/mL,High Risk
37.17,2.78E+06,0.0000088,239.9,746,5 ng/mL,High Risk
42.31,2.63E+06,0.00000805,473.6,1019.93,5 ng/mL,High Risk
33.45,1.45E+06,0.00000826,377,835,5 ng/mL,High Risk
94.51,1.62E+06,8.42E-06,274.4,767,3 ng/mL,Low Risk
38.48,5.68E+05,8.54E-06,181.2,857.82,3 ng/mL,Low Risk
32.36,8.93E+05,7.82E-06,246.9,915.63,3 ng/mL,Low Risk
43.75,1.07E+11,8.67E-06,201.4,918.14,1 ng/mL,Low Risk
47.07,7.83E+06,8.34E-06,278.9,884.21,1 ng/mL,Low Risk
44.63,9.43E+04,9.27E-06,472.4,385.33,1 ng/mL,Low Risk
192.8,1.95E+06,8.25E-06,231.2,878,0.1 ng/mL,Normal 
72.58,3.27E+05,8.18E-06,371.8,872.9,0.1 ng/mL,Normal 
31.06,6.11E+11,8.64E-06,335,897,0.1 ng/mL,Normal 
37.94,8.35E+06,9.10E-06,407.4,694,0.5 ng/mL,Normal 
46.22,2.43E+06,8.53E-06,347.5,844,0.5 ng/mL,Normal 
33.63,1.79E+06,8.24E-06,492.2,913.11,0.5 ng/mL,Normal 
