Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal
76.35,1.65E+05,9.24E-06,1824,188.9144382,20 ng/ml,High Risk
80.13,4.38E+04,1.08E-05,2439,907.7108374,20 ng/ml,High Risk
64.97,1.03E+06,7.14E-06,372.5,164.200576,20 ng/ml,High Risk
49.69,9.40E+05,7.57E-06,415,10.89085453,15 ng/ml,High Risk
45.2,1.14E+06,7.51E-06,592.4,62.41297405,15 ng/ml,High Risk
60.44,2.61E+10,8.21E-06,384.6,95.08553765,15 ng/ml,High Risk
52.34,1.13E+06,7.70E-06,591,58.64306287,10 ng/ml,Low Risk
47.95,1.08E+06,7.11E-06,643,322.5368458,10 ng/ml,Low Risk
50.3,1.16E+06,7.75E-06,390.8,4.607669225,10 ng/ml,Low Risk
58.93,1.49E+06,7.37E-06,391,161.6873019,5 ng/ml,Low Risk
42.3,8.80E+05,6.89E-06,392.3,199.3864137,5 ng/ml,Low Risk
41.66,1.06E+06,7.09E-06,336.3,188.0766802,5 ng/ml,Low Risk
46.56,8.92E+05,7.59E-06,649.6,14.2418867,3 ng/ml,Normal 
51.11,1.35E+06,7.75E-06,375.9,8.37758041,3 ng/ml,Normal 
58.57,1.54E+06,7.52E-06,353.6,166.7138502,3 ng/ml,Normal 
57.03,8.72E+05,7.44E-06,695.6,38.53686988,1 ng/ml,Normal 
63.63,1.17E+06,7.23E-06,606.9,170.48,1 ng/ml,Normal 
56.56,1.55E+06,6.79E-06,381.2,276.0412745,1 ng/ml,Normal 
