Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal
50.5,1.60E+06,7.13E-06,441.9,16.34,260 ng/ml,High Risk
40.42,9.63E+06,7.61E-06,405.8,35.19,260 ng/ml,High Risk
55.29,4.38E+06,7.60E-06,372.1,47.75,260 ng/ml,High Risk
38.13,1.21E+06,7.02E-06,350.7,37.7,250 ng/ml,High Risk
39.41,1.29E+06,7.08E-06,386.6,32.67,250 ng/ml,High Risk
39.56,1.97E+06,7.58E-06,294.8,174.67,250 ng/ml,High Risk
39.32,1.37E+06,7.14E-06,337.3,41.47,240 ng/ml,Low Risk
38.16,9.01E+05,7.06E-06,330.3,99.27,240 ng/ml,Low Risk
42.06,1.48E+06,7.23E-06,287.3,96.76,240 ng/ml,Low Risk
40.91,4478000,0.000007708,470.7,108.07,230 ng/ml,Low Risk
41.99,2.32E+06,8.10E-06,415.5,306.62,230 ng/ml,Low Risk
44.29,1.57E+07,0.000007805,413.8,79.17,230 ng/ml,Low Risk
46.31,4528000,7.57E-06,429.3,50.27,220 ng/ml,Normal 
40.88,4.22E+06,7.77E-06,446.7,135.72,220 ng/ml,Normal 
40.45,9.22E+07,7.72E-06,257.6,0,220 ng/ml,Normal 
44.72,5.73E+06,7.62E-06,492.3,52.78,210 ng/ml,Normal 
53.74,17780000,0.000007638,487.3,31.42,210 ng/ml,Normal 
52.73,6.67E+11,7.77E-06,438.5,18.85,210 ng/ml,Normal 
