Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal
43.64,1.22E+06,7.13E-06,406.7,105.5575132,60 ng/mL,High Risk
48.75,9.24E+05,7.23E-06,539.9,8.79645943,60 ng/mL,High Risk
46.78,1.15E+06,6.90E-06,460,185.9822851,60 ng/mL,High Risk
62.3,1.19E+06,7.81E-06,385.5,155.8229956,40 ng/mL,High Risk
60.37,8.59E+05,7.40E-06,339,111.8406985,40 ng/mL,High Risk
52.67,1.01E+06,8.01E-06,271.9,319.1858136,40 ng/mL,High Risk
51.87,1.56E+06,7.95E-06,316.2,223.6813969,30 ng/mL,Low Risk
45.33,1.32E+06,8.13E-06,364.8,335.5220954,30 ng/mL,Low Risk
56.79,1.16E+06,7.23E-06,431.2,64.08849013,30 ng/mL,Low Risk
53.45,1.31E+06,7.85E-06,280.9,87.9645943,15 ng/mL,Low Risk
48.58,1.50E+06,7.89E-06,376.7,221.1681228,15 ng/mL,Low Risk
51.04,1.31E+06,7.52E-06,311.5,160.8495439,15 ng/mL,Low Risk
63.35,1.81E+06,7.41E-06,337.1,20.10619298,10 ng/mL,Normal 
53.22,2.11E+06,7.25E-06,257.6,15.07964474,10 ng/mL,Normal 
72.81,1.48E+06,7.56E-06,189.9,98.01769079,10 ng/mL,Normal 
55.34,1.19E+06,7.45E-06,267.3,98.01769079,5 ng/mL,Normal 
54.4,1.20E+06,7.77E-06,400.2,143.256625,5 ng/mL,Normal 
56.54,1.19E+06,7.53E-06,323.3,42.72566009,5 ng/mL,Normal 
