Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal
48.8,5650000.0,8.04e-06,493.8,64.50736915,360 ng/ml,High Risk
48.03,1910000.0,7.9e-06,330.8,72.04719152,360 ng/ml,High Risk
54.77,2460000.0,7.81e-06,305.0,38.11799086,360 ng/ml,High Risk
50.0,6380000.0,7.75e-06,337.5,25.97049927,330 ng/ml,High Risk
61.58,1860000.0,7.28e-06,342.2,92.57226353,330 ng/ml,High Risk
61.58,1860000.0,7.28e-06,342.2,151.6342054,330 ng/ml,High Risk
33.67,912000.0,6.9e-06,163.7,144.094383,300 ng/ml,High Risk
32.58,924000.0,6.8e-06,149.3,183.0501319,300 ng/ml,High Risk
34.76,861000.0,7.19e-06,123.0,88.80235234,300 ng/ml,High Risk
55.38,8030000.0,8.47e-06,251.2,109.7463034,270 ng/ml,High Risk
57.57,8749000.0,8.208e-06,259.4,45.65781323,270 ng/ml,High Risk
56.77,4868000.0,8.047e-06,273.0,38.11799086,270 ng/ml,High Risk
50.9,9100000.0,8.3e-06,251.1,63.25073209,240 ng/ml,High Risk
49.58,32600000.0,8.39e-06,285.8,73.30382858,240 ng/ml,High Risk
51.28,3540000.0,7.97e-06,305.3,16.75516082,240 ng/ml,High Risk
34.85,972000.0,7.11e-06,364.5,112.6784565,200 ng/ml,High Risk
43.95,764000.0,6.79e-06,321.1,161.6873019,200 ng/ml,High Risk
40.7,2170000.0,7.21e-06,191.8,184.306769,200 ng/ml,High Risk
51.38,9320000.0,8.14e-06,256.5,19.26843494,180 ng/ml,Low Risk
46.86,7000000.0,8.57e-06,235.5,43.14453911,180 ng/ml,Low Risk
51.4,4240000.0,8.2e-06,246.5,162.5250599,180 ng/ml,Low Risk
48.27,4210000.0,8.71e-06,325.0,168.8082453,150 ng/ml,Low Risk
45.09,2819000.0,8.32e-06,333.7,108.4896663,150 ng/ml,Low Risk
42.02,3415000.0,8.25e-06,340.0,92.15338451,150 ng/ml,Low Risk
38.68,1710000.0,8.59e-06,191.5,170.0648823,120 ng/ml,Low Risk
39.12,1290000.0,7.7e-06,170.7,59.48082091,120 ng/ml,Low Risk
38.13,1530000.0,8.07e-06,202.9,55.71090972,120 ng/ml,Low Risk
32.95,1030000.0,8.07e-06,104.2,147.4454152,106 ng/ml,Low Risk
34.71,1520000.0,8.22e-06,160.3,122.312674,106 ng/ml,Low Risk
31.25,841000.0,7.94e-06,112.8,142.418867,106 ng/ml,Low Risk
34.22,967000.0,7.61e-06,194.7,48.17108736,90 ng/ml,Normal
36.04,968000.0,7.87e-06,197.2,103.4631181,90 ng/ml,Normal
32.11,951000.0,7.57e-06,146.5,54.45427266,90 ng/ml,Normal
35.14,2550000.0,8.25e-06,158.3,104.7197551,57 ng/ml,Normal
38.3,1900000.0,8.26e-06,185.7,92.15338451,57 ng/ml,Normal
33.56,1890000.0,8.37e-06,135.2,122.312674,57 ng/ml,Normal
33.07,1367000.0,8.106e-06,139.4,117.2861257,28 ng/ml,Normal
37.78,1090000.0,7.882e-06,175.2,97.17993275,28 ng/ml,Normal
38.9,1068000.0,7.927e-06,183.6,89.64011038,28 ng/ml,Normal
43.36,1170000.0,7.69e-06,190.6,21.78170906,10 ng/ml,Normal
40.99,1160000.0,7.29e-06,302.2,20.94395102,10 ng/ml,Normal
38.51,1120000.0,7.98e-06,204.6,73.30382858,10 ng/ml,Normal
41.74,901000.0,7.67e-06,203.0,0.0,0,Normal
43.12,2330000.0,7.67e-06,255.0,0.0,0,Normal
37.44,1040000.0,7.07e-06,167.3,0.0,0,Normal
46.29,764000.0,8.71e-06,146.9,184.306769,360 ng/ml,Normal
47.09,764000.0,8.71e-06,280.4,90.27956738,330 ng/ml,Normal
36.89,764000.0,8.71e-06,104.2,115.89749463,270 ng/ml,Normal
42.26,2499850.0,8.71e-06,105.9,165.23132061,28 ng/ml,Normal
47.09,764000.0,8.71e-06,259.3,126.0127566,120 ng/ml,Normal
61.58,1717194.0,6.79e-06,311.9,15.9576785,240 ng/ml,Normal
33.62,764000.0,8.71e-06,305.8,68.21050951,180 ng/ml,Normal
45.66,985962.0,6.79e-06,152.8,164.55149414,57 ng/ml,Normal
45.86,1366931.0,8.71e-06,303.4,34.33991411,360 ng/ml,Normal
43.98,764000.0,6.79e-06,104.2,75.03384194,10 ng/ml,Normal
46.43,764000.0,8.71e-06,189.2,155.74412415,240 ng/ml,Normal
34.92,3863422.0,6.79e-06,203.9,65.94079511,0,Normal
39.5,764000.0,8.71e-06,331.3,94.81926177,57 ng/ml,Normal
40.46,764000.0,6.79e-06,104.2,184.306769,180 ng/ml,Normal
37.6,9544168.0,8.71e-06,316.0,115.70785896,10 ng/ml,Normal
31.25,8201545.0,6.79e-06,200.2,48.07254185,330 ng/ml,Normal
37.04,764000.0,8.71e-06,137.0,85.35990726,200 ng/ml,Normal
44.98,764000.0,8.71e-06,167.4,178.81682516,10 ng/ml,Normal
43.48,3260106.0,6.79e-06,104.2,184.306769,300 ng/ml,Normal
61.58,1631147.0,6.79e-06,252.1,29.1747747,360 ng/ml,Normal
44.1,764000.0,8.71e-06,205.7,171.44541655,180 ng/ml,Normal
57.27,764000.0,6.79e-06,174.6,113.49814297,57 ng/ml,Normal
41.21,764000.0,6.79e-06,217.5,38.49993469,28 ng/ml,Normal
61.58,764000.0,6.79e-06,364.0,52.1451048,28 ng/ml,Normal
48.39,764000.0,6.79e-06,200.8,118.31745237,200 ng/ml,Normal
40.86,764000.0,8.71e-06,458.4,148.73956849,120 ng/ml,Normal
36.68,764000.0,8.71e-06,212.1,81.10187277,28 ng/ml,Normal
38.51,764000.0,8.71e-06,181.8,173.85836872,240 ng/ml,Normal
58.51,764000.0,8.71e-06,268.1,125.69509196,360 ng/ml,Normal
40.67,764000.0,8.71e-06,173.8,157.0073354,10 ng/ml,Normal
38.15,764000.0,8.71e-06,265.7,127.06872492,57 ng/ml,Normal
50.23,764000.0,8.71e-06,180.6,21.28492904,120 ng/ml,Normal
33.29,764000.0,8.71e-06,104.2,83.52682532,360 ng/ml,Normal
41.78,764000.0,8.71e-06,173.8,157.34575544,150 ng/ml,Normal
39.48,3757695.0,6.79e-06,281.1,175.47144783,330 ng/ml,Normal
49.15,764000.0,6.79e-06,187.3,136.88840286,120 ng/ml,Normal
44.99,1572694.0,8.71e-06,336.6,21.61686612,360 ng/ml,Normal
40.8,764000.0,8.71e-06,148.6,106.76349306,240 ng/ml,Normal
