Type,Class_Multimodal,CPE,Rp,Impedance,Class_Binary,rsol
0,Normal,7.99e-06,1250000.0,1834.69011,Benign,44.27
0,Normal,7.96e-06,1100000.0,1834.69011,Benign,47.92
0.005 ng/ml,Normal,7.71e-06,1290000.0,1897.52,Benign,49.17
0.005 ng/ml,Normal,7.93e-06,1260000.0,1897.52,Benign,43.11
0.05 ng/ml,Normal,7.72e-06,1320000.0,1947.78,Benign,40.16
0.05 ng/ml,Normal,7.68e-06,1430000.0,1972.92,Benign,40.16
5.0 ng/ml,Low Risk,7.6e-06,1230000.0,1922.65,Benign,41.45
5.0 ng/ml,Low Risk,7.7e-06,1230000.0,1947.78,Benign,41.45
20.0 ng/ml,Low Risk,7.68e-06,1330000.0,1972.2,Benign,42.05
20.0 ng/ml,Low Risk,7.68e-06,1330000.0,2048.31,Benign,40.37
50.0 ng/ml,High Risk,7.35e-06,1550000.0,1972.92,Malignant,38.85
500.0 ng/ml,High Risk,7.39e-06,2200000.0,2035.75,Malignant,43.23
5000.0 ng/ml,High Risk,7.26e-06,1580000.0,2023.18,Malignant,42.37
5000.0 ng/ml,High Risk,7.3e-06,1330000.0,2035.75,Malignant,36.18
0,Normal,7.99e-06,1250000.0,1834.69011,Benign,44.27
0,Normal,7.96e-06,1100000.0,1834.69011,Benign,47.92
0.005 ng/ml,Normal,7.71e-06,1290000.0,1897.52,Benign,49.17
0.005 ng/ml,Normal,7.93e-06,1260000.0,1897.52,Benign,43.11
0.05 ng/ml,Normal,7.72e-06,1320000.0,1947.78,Benign,40.16
0.05 ng/ml,Normal,7.68e-06,1430000.0,1972.92,Benign,40.16
5.0 ng/ml,Low Risk,7.6e-06,1230000.0,1922.65,Benign,41.45
5.0 ng/ml,Low Risk,7.7e-06,1230000.0,1947.78,Benign,41.45
20.0 ng/ml,Low Risk,7.68e-06,1330000.0,1972.2,Benign,42.05
20.0 ng/ml,Low Risk,7.68e-06,1330000.0,2048.31,Benign,40.37
50.0 ng/ml,High Risk,7.35e-06,1550000.0,1972.92,Malignant,38.85
500.0 ng/ml,High Risk,7.39e-06,2200000.0,2035.75,Malignant,43.23
5000.0 ng/ml,High Risk,7.26e-06,1580000.0,2023.18,Malignant,42.37
5000.0 ng/ml,High Risk,7.3e-06,1330000.0,2035.75,Malignant,36.18
0,Normal,7.99e-06,1250000.0,1834.69011,Benign,44.27
0,Normal,7.96e-06,1100000.0,1834.69011,Benign,47.92
0.005 ng/ml,Normal,7.71e-06,1290000.0,1897.52,Benign,49.17
0.005 ng/ml,Normal,7.93e-06,1260000.0,1897.52,Benign,43.11
0.05 ng/ml,Normal,7.72e-06,1320000.0,1947.78,Benign,40.16
0.05 ng/ml,Normal,7.68e-06,1430000.0,1972.92,Benign,40.16
5.0 ng/ml,Low Risk,7.6e-06,1230000.0,1922.65,Benign,41.45
5.0 ng/ml,Low Risk,7.7e-06,1230000.0,1947.78,Benign,41.45
20.0 ng/ml,Low Risk,7.68e-06,1330000.0,1972.2,Benign,42.05
20.0 ng/ml,Low Risk,7.68e-06,1330000.0,2048.31,Benign,40.37
50.0 ng/ml,High Risk,7.35e-06,1550000.0,1972.92,Malignant,38.85
500.0 ng/ml,High Risk,7.39e-06,2200000.0,2035.75,Malignant,43.23
5000.0 ng/ml,High Risk,7.26e-06,1580000.0,2023.18,Malignant,42.37
5000.0 ng/ml,High Risk,7.3e-06,1330000.0,2035.75,Malignant,36.18
0,Normal,7.99e-06,1250000.0,1834.69011,Benign,44.27
0,Normal,7.96e-06,1100000.0,1834.69011,Benign,47.92
0.005 ng/ml,Normal,7.71e-06,1290000.0,1897.52,Benign,49.17
0.005 ng/ml,Normal,7.93e-06,1260000.0,1897.52,Benign,43.11
0.05 ng/ml,Normal,7.72e-06,1320000.0,1947.78,Benign,40.16
0.05 ng/ml,Normal,7.68e-06,1430000.0,1972.92,Benign,40.16
5.0 ng/ml,Low Risk,7.6e-06,1230000.0,1922.65,Benign,41.45
5.0 ng/ml,Low Risk,7.7e-06,1230000.0,1947.78,Benign,41.45
20.0 ng/ml,Low Risk,7.68e-06,1330000.0,1972.2,Benign,42.05
20.0 ng/ml,Low Risk,7.68e-06,1330000.0,2048.31,Benign,40.37
50.0 ng/ml,High Risk,7.35e-06,1550000.0,1972.92,Malignant,38.85
500.0 ng/ml,High Risk,7.39e-06,2200000.0,2035.75,Malignant,43.23
5000.0 ng/ml,High Risk,7.26e-06,1580000.0,2023.18,Malignant,42.37
5000.0 ng/ml,High Risk,7.3e-06,1330000.0,2035.75,Malignant,36.18
0,Normal,7.99e-06,1250000.0,1834.69011,Benign,44.27
0,Normal,7.96e-06,1100000.0,1834.69011,Benign,47.92
0.005 ng/ml,Normal,7.71e-06,1290000.0,1897.52,Benign,49.17
0.005 ng/ml,Normal,7.93e-06,1260000.0,1897.52,Benign,43.11
0.05 ng/ml,Normal,7.72e-06,1320000.0,1947.78,Benign,40.16
0.05 ng/ml,Normal,7.68e-06,1430000.0,1972.92,Benign,40.16
5.0 ng/ml,Low Risk,7.6e-06,1230000.0,1922.65,Benign,41.45
5.0 ng/ml,Low Risk,7.7e-06,1230000.0,1947.78,Benign,41.45
20.0 ng/ml,Low Risk,7.68e-06,1330000.0,1972.2,Benign,42.05
20.0 ng/ml,Low Risk,7.68e-06,1330000.0,2048.31,Benign,40.37
50.0 ng/ml,High Risk,7.35e-06,1550000.0,1972.92,Malignant,38.85
500.0 ng/ml,High Risk,7.39e-06,2200000.0,2035.75,Malignant,43.23
5000.0 ng/ml,High Risk,7.26e-06,1580000.0,2023.18,Malignant,42.37
5000.0 ng/ml,High Risk,7.3e-06,1330000.0,2035.75,Malignant,36.18
