Type,Class_Multimodal,CPE,Rp,Impedance,Class_Binary
0,Normal,8.26e-06,854000.0,12553.8,Benign
0,Normal,7e-06,864000.0,12553.8,Benign
0.050 ng/ml,Normal,7.24e-06,1020000.0,12600.0,Benign
0.050 ng/ml,Normal,7.56e-06,911000.0,12900.0,Benign
0.100 ng/ml,Normal,7.67e-06,993000.0,12500.0,Benign
0.100 ng/ml,Normal,7.24e-06,798000.0,12600.0,Benign
102030 ng/ml,Low Risk,7.68e-06,1060000.0,13400.0,Benign
102030 ng/ml,Low Risk,7.18e-06,1290000.0,13000.0,Benign
102030 ng/ml,Low Risk,7.17e-06,1290000.0,13100.0,Benign
102030 ng/ml,Low Risk,7.25e-06,1130000.0,13600.0,Benign
50 ng/ml,High Risk,7.45e-06,1590000.0,13600.0,Malignant
50 ng/ml,High Risk,7.11e-06,1950000.0,14100.0,Malignant
1000 ng/ml,High Risk,7.31e-06,1420000.0,14500.0,Malignant
1000 ng/ml,High Risk,6.67e-06,1200000.0,13800.0,Malignant
0,Normal,8.26e-06,854000.0,12553.8,Benign
0,Normal,7e-06,864000.0,12553.8,Benign
0.050 ng/ml,Normal,7.24e-06,1020000.0,12600.0,Benign
0.050 ng/ml,Normal,7.56e-06,911000.0,12900.0,Benign
0.100 ng/ml,Normal,7.67e-06,993000.0,12500.0,Benign
0.100 ng/ml,Normal,7.24e-06,798000.0,12600.0,Benign
102030 ng/ml,Low Risk,7.68e-06,1060000.0,13400.0,Benign
102030 ng/ml,Low Risk,7.18e-06,1290000.0,13000.0,Benign
102030 ng/ml,Low Risk,7.17e-06,1290000.0,13100.0,Benign
102030 ng/ml,Low Risk,7.25e-06,1130000.0,13600.0,Benign
50 ng/ml,High Risk,7.45e-06,1590000.0,13600.0,Malignant
50 ng/ml,High Risk,7.11e-06,1950000.0,14100.0,Malignant
1000 ng/ml,High Risk,7.31e-06,1420000.0,14500.0,Malignant
1000 ng/ml,High Risk,6.67e-06,1200000.0,13800.0,Malignant
0,Normal,8.26e-06,854000.0,12553.8,Benign
0,Normal,7e-06,864000.0,12553.8,Benign
0.050 ng/ml,Normal,7.24e-06,1020000.0,12600.0,Benign
0.050 ng/ml,Normal,7.56e-06,911000.0,12900.0,Benign
0.100 ng/ml,Normal,7.67e-06,993000.0,12500.0,Benign
0.100 ng/ml,Normal,7.24e-06,798000.0,12600.0,Benign
102030 ng/ml,Low Risk,7.68e-06,1060000.0,13400.0,Benign
102030 ng/ml,Low Risk,7.18e-06,1290000.0,13000.0,Benign
102030 ng/ml,Low Risk,7.17e-06,1290000.0,13100.0,Benign
102030 ng/ml,Low Risk,7.25e-06,1130000.0,13600.0,Benign
50 ng/ml,High Risk,7.45e-06,1590000.0,13600.0,Malignant
50 ng/ml,High Risk,7.11e-06,1950000.0,14100.0,Malignant
1000 ng/ml,High Risk,7.31e-06,1420000.0,14500.0,Malignant
1000 ng/ml,High Risk,6.67e-06,1200000.0,13800.0,Malignant
0,Normal,8.26e-06,854000.0,12553.8,Benign
0,Normal,7e-06,864000.0,12553.8,Benign
0.050 ng/ml,Normal,7.24e-06,1020000.0,12600.0,Benign
0.050 ng/ml,Normal,7.56e-06,911000.0,12900.0,Benign
0.100 ng/ml,Normal,7.67e-06,993000.0,12500.0,Benign
0.100 ng/ml,Normal,7.24e-06,798000.0,12600.0,Benign
102030 ng/ml,Low Risk,7.68e-06,1060000.0,13400.0,Benign
102030 ng/ml,Low Risk,7.18e-06,1290000.0,13000.0,Benign
102030 ng/ml,Low Risk,7.17e-06,1290000.0,13100.0,Benign
102030 ng/ml,Low Risk,7.25e-06,1130000.0,13600.0,Benign
50 ng/ml,High Risk,7.45e-06,1590000.0,13600.0,Malignant
50 ng/ml,High Risk,7.11e-06,1950000.0,14100.0,Malignant
1000 ng/ml,High Risk,7.31e-06,1420000.0,14500.0,Malignant
1000 ng/ml,High Risk,6.67e-06,1200000.0,13800.0,Malignant
0,Normal,8.26e-06,854000.0,12553.8,Benign
0,Normal,7e-06,864000.0,12553.8,Benign
0.050 ng/ml,Normal,7.24e-06,1020000.0,12600.0,Benign
0.050 ng/ml,Normal,7.56e-06,911000.0,12900.0,Benign
0.100 ng/ml,Normal,7.67e-06,993000.0,12500.0,Benign
0.100 ng/ml,Normal,7.24e-06,798000.0,12600.0,Benign
102030 ng/ml,Low Risk,7.68e-06,1060000.0,13400.0,Benign
102030 ng/ml,Low Risk,7.18e-06,1290000.0,13000.0,Benign
102030 ng/ml,Low Risk,7.17e-06,1290000.0,13100.0,Benign
102030 ng/ml,Low Risk,7.25e-06,1130000.0,13600.0,Benign
50 ng/ml,High Risk,7.45e-06,1590000.0,13600.0,Malignant
50 ng/ml,High Risk,7.11e-06,1950000.0,14100.0,Malignant
1000 ng/ml,High Risk,7.31e-06,1420000.0,14500.0,Malignant
1000 ng/ml,High Risk,6.67e-06,1200000.0,13800.0,Malignant
