Type,Class_Multimodal,CPE,Rp,Impedance,Class_Binary,rsol
0,Normal,0,1440000,1558,Benign,45.78
0,Normal,0,1420000,1570,Benign,48.68
0.005 ng/ml,Normal,1.89,1350000,1583,Benign,51.38
0.005 ng/ml,Normal,0.10400416,1260000,1533,Benign,41.08
0.010 ng/ml,Normal,0.481,1330000,1583,Benign,51.23
0.010 ng/ml,Normal,0.936037441,1570000,1595,Benign,42.81
2 ng/ml,Low Risk,3.58,1190000,1595,Benign,47.48
2 ng/ml,Low Risk,3.28,1230000,1583,Benign,39.35
4 ng/ml,Low Risk,4.76,1000000,1621,Benign,45.64
4 ng/ml,Low Risk,3.69,1290000,1583,Benign,46.7
7.500 ng/ml,High Risk,3.69,904000,1658,Malignant,43.1
7.500 ng/ml,High Risk,7.189287572,1220000,1608,Malignant,42.84
25 ng/ml,High Risk,5.4,904000,1658,Malignant,39.19
25 ng/ml,High Risk,4.576183047,1010000,1646,Malignant,36.13
0,Normal,0,1440000,1558,Benign,45.78
0,Normal,0,1420000,1570,Benign,48.68
0.005 ng/ml,Normal,1.89,1350000,1583,Benign,51.38
0.005 ng/ml,Normal,0.10400416,1260000,1533,Benign,41.08
0.010 ng/ml,Normal,0.481,1330000,1583,Benign,51.23
0.010 ng/ml,Normal,0.936037441,1570000,1595,Benign,42.81
2 ng/ml,Low Risk,3.58,1190000,1595,Benign,47.48
2 ng/ml,Low Risk,3.28,1230000,1583,Benign,39.35
4 ng/ml,Low Risk,4.76,1000000,1621,Benign,45.64
4 ng/ml,Low Risk,3.69,1290000,1583,Benign,46.7
7.500 ng/ml,High Risk,3.69,904000,1658,Malignant,43.1
7.500 ng/ml,High Risk,7.189287572,1220000,1608,Malignant,42.84
25 ng/ml,High Risk,5.4,904000,1658,Malignant,39.19
25 ng/ml,High Risk,4.576183047,1010000,1646,Malignant,36.13
0,Normal,0,1440000,1558,Benign,45.78
0,Normal,0,1420000,1570,Benign,48.68
0.005 ng/ml,Normal,1.89,1350000,1583,Benign,51.38
0.005 ng/ml,Normal,0.10400416,1260000,1533,Benign,41.08
0.010 ng/ml,Normal,0.481,1330000,1583,Benign,51.23
0.010 ng/ml,Normal,0.936037441,1570000,1595,Benign,42.81
2 ng/ml,Low Risk,3.58,1190000,1595,Benign,47.48
2 ng/ml,Low Risk,3.28,1230000,1583,Benign,39.35
4 ng/ml,Low Risk,4.76,1000000,1621,Benign,45.64
4 ng/ml,Low Risk,3.69,1290000,1583,Benign,46.7
7.500 ng/ml,High Risk,3.69,904000,1658,Malignant,43.1
7.500 ng/ml,High Risk,7.189287572,1220000,1608,Malignant,42.84
25 ng/ml,High Risk,5.4,904000,1658,Malignant,39.19
25 ng/ml,High Risk,4.576183047,1010000,1646,Malignant,36.13
0,Normal,0,1440000,1558,Benign,45.78
0,Normal,0,1420000,1570,Benign,48.68
0.005 ng/ml,Normal,1.89,1350000,1583,Benign,51.38
0.005 ng/ml,Normal,0.10400416,1260000,1533,Benign,41.08
0.010 ng/ml,Normal,0.481,1330000,1583,Benign,51.23
0.010 ng/ml,Normal,0.936037441,1570000,1595,Benign,42.81
2 ng/ml,Low Risk,3.58,1190000,1595,Benign,47.48
2 ng/ml,Low Risk,3.28,1230000,1583,Benign,39.35
4 ng/ml,Low Risk,4.76,1000000,1621,Benign,45.64
4 ng/ml,Low Risk,3.69,1290000,1583,Benign,46.7
7.500 ng/ml,High Risk,3.69,904000,1658,Malignant,43.1
7.500 ng/ml,High Risk,7.189287572,1220000,1608,Malignant,42.84
25 ng/ml,High Risk,5.4,904000,1658,Malignant,39.19
25 ng/ml,High Risk,4.576183047,1010000,1646,Malignant,36.13
0,Normal,0,1440000,1558,Benign,45.78
0,Normal,0,1420000,1570,Benign,48.68
0.005 ng/ml,Normal,1.89,1350000,1583,Benign,51.38
0.005 ng/ml,Normal,0.10400416,1260000,1533,Benign,41.08
0.010 ng/ml,Normal,0.481,1330000,1583,Benign,51.23
0.010 ng/ml,Normal,0.936037441,1570000,1595,Benign,42.81
2 ng/ml,Low Risk,3.58,1190000,1595,Benign,47.48
2 ng/ml,Low Risk,3.28,1230000,1583,Benign,39.35
4 ng/ml,Low Risk,4.76,1000000,1621,Benign,45.64
4 ng/ml,Low Risk,3.69,1290000,1583,Benign,46.7
7.500 ng/ml,High Risk,3.69,904000,1658,Malignant,43.1
7.500 ng/ml,High Risk,7.189287572,1220000,1608,Malignant,42.84
25 ng/ml,High Risk,5.4,904000,1658,Malignant,39.19
25 ng/ml,High Risk,4.576183047,1010000,1646,Malignant,36.13
