Type,Class_Binary,Class_Multimodal,capacitance ,resistance,impedance,r solution
control,Benign,Normal,7.93E-06,8.87E+05,11887.7866,31.47
control,Benign,Normal,8.05E-06,9.43E+05,11812.38838,29.15
control,Benign,Normal,7.93E-06,8.87E+05,11887.7866,31.47
control,Benign,Normal,8.05E-06,9.43E+05,11812.38838,29.15
control,Benign,Normal,7.93E-06,8.87E+05,11887.7866,31.47
control,Benign,Normal,8.05E-06,9.43E+05,11812.38838,29.15
CEA-5pg/ml,Benign,Normal,8.29E-06,6.07E+05,11535.92822,29.22
CEA-5pg/ml,Benign,Normal,8.11E-06,7.10E+05,11724.42378,29.65
CEA-5pg/ml,Benign,Normal,8.29E-06,6.07E+05,11535.92822,29.22
CEA-5pg/ml,Benign,Normal,8.11E-06,7.10E+05,11724.42378,29.65
CEA-5pg/ml,Benign,Normal,8.29E-06,6.07E+05,11535.92822,29.22
CEA-5pg/ml,Benign,Normal,8.11E-06,7.10E+05,11724.42378,29.65
CEA-7.5pg/ml,Benign,Normal,7.81E-06,6.43E+05,11347.43266,30.68
CEA-7.5pg/ml,Benign,Normal,8.02E-06,6.78E+05,11824.95475,33.31
CEA-7.5pg/ml,Benign,Normal,7.81E-06,6.43E+05,11347.43266,30.68
CEA-7.5pg/ml,Benign,Normal,8.02E-06,6.78E+05,11824.95475,33.31
CEA-7.5pg/ml,Benign,Normal,7.81E-06,6.43E+05,11347.43266,30.68
CEA-7.5pg/ml,Benign,Normal,8.02E-06,6.78E+05,11824.95475,33.31
CEA-10pg/ml,Benign,Normal,8.40E-06,6.43E+05,10606.0168,30.68
CEA-10pg/ml,Benign,Normal,8.62E-06,2.47E+06,12566.37061,44.23
CEA-10pg/ml,Benign,Normal,8.40E-06,6.43E+05,10606.0168,30.68
CEA-10pg/ml,Benign,Normal,8.62E-06,2.47E+06,12566.37061,44.23
CEA-10pg/ml,Benign,Normal,8.40E-06,6.43E+05,10606.0168,30.68
CEA-10pg/ml,Benign,Normal,8.62E-06,2.47E+06,12566.37061,44.23
CEA-1ng/ml,Benign,Low Risk,8.26E-06,3.01E+05,10316.99027,31.84
CEA-1ng/ml,Benign,Low Risk,8.52E-06,7.02E+05,11573.62734,31.07
CEA-1ng/ml,Benign,Low Risk,8.26E-06,3.01E+05,10316.99027,31.84
CEA-1ng/ml,Benign,Low Risk,8.52E-06,7.02E+05,11573.62734,31.07
CEA-1ng/ml,Benign,Low Risk,8.26E-06,3.01E+05,10316.99027,31.84
CEA-1ng/ml,Benign,Low Risk,8.52E-06,7.02E+05,11573.62734,31.07
CEA-2ng/ml,Benign,Low Risk,7.93E-06,3.77E+05,9965.1319,31.29
CEA-2ng/ml,Benign,Low Risk,8.10E-06,3.63E+05,11158.93711,30.96
CEA-2ng/ml,Benign,Low Risk,7.93E-06,3.77E+05,9965.1319,31.29
CEA-2ng/ml,Benign,Low Risk,8.10E-06,3.63E+05,11158.93711,30.96
CEA-2ng/ml,Benign,Low Risk,7.93E-06,3.77E+05,9965.1319,31.29
CEA-2ng/ml,Benign,Low Risk,8.10E-06,3.63E+05,11158.93711,30.96
CEA-3ng/ml,Benign,Low Risk,8.90E-06,2.72E+05,9713.80448,27.78
CEA-3ng/ml,Benign,Low Risk,8.27E-06,3.16E+05,10731.6805,30.45
CEA-3ng/ml,Benign,Low Risk,8.90E-06,2.72E+05,9713.80448,27.78
