Rsol,Rp,CPE,CV_Area,Delta_Z,Type,Class_Multimodal
36.03,764000.0,8.71e-06,337.6,147.96657914,240 ng/ml,Normal
41.91,1251212.0,8.71e-06,147.0,45.05900517,0,Normal
49.09,4610220.0,6.79e-06,250.6,163.07564581,90 ng/ml,Normal
36.88,764000.0,8.71e-06,335.1,184.306769,10 ng/ml,Normal
57.2,764000.0,8.71e-06,285.9,169.43134635,360 ng/ml,Normal
31.25,2611949.0,8.71e-06,166.9,42.05159992,10 ng/ml,Normal
39.16,1379122.0,8.71e-06,369.0,113.67510827,150 ng/ml,Normal
41.29,764000.0,8.71e-06,172.5,131.16631131,300 ng/ml,Normal
38.3,764000.0,8.71e-06,158.8,184.306769,270 ng/ml,Normal
38.94,764000.0,8.71e-06,104.2,184.306769,270 ng/ml,Normal
44.9,1869685.0,6.79e-06,104.2,184.306769,300 ng/ml,Normal
36.9,3514139.0,8.71e-06,275.5,138.62005403,28 ng/ml,Normal
56.01,4097547.0,6.79e-06,199.3,25.67510062,0,Normal
49.77,764000.0,8.71e-06,208.8,68.33871268,57 ng/ml,Normal
31.61,764000.0,6.79e-06,150.9,82.66150019,150 ng/ml,Normal
41.34,7264996.0,8.71e-06,275.4,120.07016381,240 ng/ml,Normal
50.37,1066936.0,6.79e-06,269.5,118.05117851,10 ng/ml,Normal
31.25,764000.0,8.71e-06,337.8,83.12064421,90 ng/ml,Normal
39.94,764000.0,8.71e-06,307.7,80.44535452,330 ng/ml,Normal
40.83,764000.0,8.71e-06,146.8,172.17193023,57 ng/ml,Normal
34.35,764000.0,8.71e-06,195.0,46.19332264,240 ng/ml,Normal
31.25,764000.0,8.71e-06,149.1,184.306769,90 ng/ml,Normal
43.68,764000.0,8.71e-06,206.8,164.44990716,90 ng/ml,Normal
46.35,764000.0,6.79e-06,312.4,111.82394089,10 ng/ml,Normal
51.31,764000.0,8.71e-06,300.3,140.24850682,120 ng/ml,Normal
40.14,764000.0,6.79e-06,192.3,0.0,57 ng/ml,Normal
46.69,764000.0,8.71e-06,391.9,162.80545231,90 ng/ml,Normal
44.13,764000.0,8.71e-06,312.1,184.306769,240 ng/ml,Normal
45.96,2357193.0,8.71e-06,207.0,68.92739519,360 ng/ml,Normal
39.13,776613.0,8.71e-06,200.3,32.03765119,360 ng/ml,Normal
39.24,764000.0,8.71e-06,297.3,65.46623464,0,Normal
57.66,764000.0,6.79e-06,172.6,108.17470164,330 ng/ml,Normal
48.33,764000.0,6.79e-06,233.8,184.306769,0,Normal
40.22,1021944.0,6.79e-06,298.2,135.11148301,57 ng/ml,Normal
40.34,764000.0,8.71e-06,161.8,184.306769,360 ng/ml,Normal
36.67,764000.0,6.79e-06,186.1,124.90396341,240 ng/ml,Normal
61.58,764000.0,8.71e-06,482.2,114.53020464,240 ng/ml,Normal
61.58,764000.0,8.71e-06,451.3,106.75661348,57 ng/ml,Normal
32.15,2585516.0,6.79e-06,162.3,93.33429406,28 ng/ml,Normal
49.06,764000.0,8.71e-06,202.6,141.17445525,360 ng/ml,Normal
43.88,3601224.0,6.79e-06,212.2,0.0,57 ng/ml,Normal
61.21,4932953.0,6.79e-06,124.1,0.0,57 ng/ml,Normal
41.3,764000.0,6.79e-06,193.7,184.306769,330 ng/ml,Normal
41.55,764000.0,8.71e-06,164.9,158.12923447,57 ng/ml,Normal
50.87,764000.0,6.79e-06,104.2,184.306769,10 ng/ml,Normal
39.29,764000.0,6.79e-06,185.5,172.98048248,200 ng/ml,Normal
41.79,1258696.0,6.79e-06,247.1,107.53595823,200 ng/ml,Normal
41.98,764000.0,8.71e-06,142.1,146.45289078,180 ng/ml,Normal
43.11,1270902.0,6.79e-06,127.2,91.87182654,300 ng/ml,Normal
42.83,764000.0,8.71e-06,187.8,162.50790224,360 ng/ml,Normal
43.03,764000.0,8.71e-06,166.5,94.08232217,200 ng/ml,Normal
43.8,764000.0,6.79e-06,292.4,119.80584043,270 ng/ml,Normal
38.64,764000.0,8.71e-06,208.7,95.20580699,180 ng/ml,Normal
42.55,764000.0,8.71e-06,333.3,180.59114437,120 ng/ml,Normal
37.07,3331109.0,8.71e-06,199.8,106.50392613,360 ng/ml,Normal
34.95,764000.0,6.79e-06,125.9,117.79790165,10 ng/ml,Normal
39.54,764000.0,8.71e-06,211.5,99.90206474,106 ng/ml,Normal
42.84,4840980.0,6.79e-06,125.8,82.87636929,200 ng/ml,Normal
42.01,764000.0,6.79e-06,235.3,184.306769,330 ng/ml,Normal
37.34,764000.0,8.71e-06,259.0,184.306769,57 ng/ml,Normal
39.38,1994702.0,6.79e-06,104.2,80.46086041,270 ng/ml,Normal
46.27,764000.0,8.71e-06,273.7,93.05088346,300 ng/ml,Normal
41.32,764000.0,8.71e-06,249.3,184.306769,200 ng/ml,Normal
54.76,764000.0,8.71e-06,278.0,7.41139975,120 ng/ml,Normal
37.01,764000.0,8.71e-06,229.0,184.306769,360 ng/ml,Normal
36.43,1590273.0,6.79e-06,104.2,119.77454867,300 ng/ml,Normal
34.67,1983207.0,8.71e-06,104.2,184.306769,200 ng/ml,Normal
31.25,764000.0,8.71e-06,208.1,184.306769,0,Normal
42.48,764000.0,8.71e-06,400.2,58.23488299,300 ng/ml,Normal
53.68,764000.0,8.71e-06,381.8,53.19719393,90 ng/ml,Normal
43.5,764000.0,8.71e-06,236.8,184.306769,330 ng/ml,Normal
54.86,812041.0,6.79e-06,117.5,168.05086958,300 ng/ml,Normal
41.62,764000.0,8.71e-06,192.9,184.306769,300 ng/ml,Normal
44.51,764000.0,8.71e-06,200.5,101.75367852,106 ng/ml,Normal
40.7,3391200.0,6.79e-06,104.2,184.306769,150 ng/ml,Normal
36.83,1118543.0,8.71e-06,124.3,0.0,240 ng/ml,Normal
42.57,3729123.0,6.79e-06,334.3,148.99479272,28 ng/ml,Normal
42.67,764000.0,8.71e-06,123.3,162.81248898,0,Normal
42.69,764000.0,8.71e-06,405.0,0.0,106 ng/ml,Normal
42.85,3350694.0,6.79e-06,204.9,0.0,150 ng/ml,Normal
42.67,1238805.0,6.79e-06,104.2,118.83113609,90 ng/ml,Normal
46.12,764000.0,6.79e-06,104.2,143.97154409,270 ng/ml,Normal
